,name,team,opp,hmcrt_adv,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Jayson Tatum,Boston Celtics,Denver Nuggets,0,25,6,7,2,0,0,.564,.438,.250,0.0,29.6,12.4,26.6,2.7,0.0,32.8,103,123,0.7
1,Jaylen Brown,Boston Celtics,Denver Nuggets,0,30,3,8,1,0,4,.718,.700,.400,6.4,26.3,14.8,18.2,1.4,0.0,26.2,145,126,11.9
2,Marcus Smart,Boston Celtics,Denver Nuggets,0,4,7,5,1,0,0,.167,.167,.333,7.0,14.4,10.1,29.0,1.5,0.0,17.8,71,126,-12.2
3,Al Horford,Boston Celtics,Denver Nuggets,0,8,3,6,0,1,2,.400,.400,.600,7.2,19.9,12.6,13.6,0.0,3.3,14.3,104,126,-1.9
4,Derrick White,Boston Celtics,Denver Nuggets,0,13,3,1,1,1,2,.658,.667,.556,0.0,6.5,2.7,20.9,2.1,4.2,20.1,120,120,5.9
5,Grant Williams,Boston Celtics,Denver Nuggets,0,9,1,5,1,1,0,.726,.500,.250,7.9,16.4,11.5,4.8,1.8,3.6,12.8,124,121,-2.1
6,Malcolm Brogdon,Boston Celtics,Denver Nuggets,0,4,4,2,1,0,0,.291,.167,.500,0.0,15.3,6.5,26.1,2.5,0.0,17.3,79,123,-7.7
7,Robert Williams,Boston Celtics,Denver Nuggets,0,8,1,6,0,0,0,1.000,1.000,.000,11.6,32.0,20.2,8.6,0.0,0.0,13.7,124,129,-1.6
8,Sam Hauser,Boston Celtics,Denver Nuggets,0,5,0,0,0,0,1,.833,.833,.667,0.0,0.0,0.0,0.0,0.0,0.0,11.2,151,130,0.7
9,Luke Kornet,Boston Celtics,Denver Nuggets,0,4,0,0,0,0,0,1.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,41.2,200,129,24.4
10,Payton Pritchard,Boston Celtics,Denver Nuggets,0,1,0,0,0,0,0,.568,,,0.0,0.0,0.0,0.0,0.0,0.0,38.7,53,130,-28.4
11,Justin Jackson,Boston Celtics,Denver Nuggets,0,0,2,0,1,0,0,.000,.000,.000,0.0,0.0,0.0,100.0,23.2,0.0,20.6,87,75,35.9
12,Noah Vonleh,Boston Celtics,Denver Nuggets,0,0,0,1,0,0,0,,,,0.0,72.0,30.3,0.0,0.0,0.0,0.0,0,128,-3.0
13,Aaron Gordon,Denver Nuggets,Boston Celtics,1,18,7,6,2,1,1,.575,.500,.154,4.1,14.8,10.3,24.4,2.6,2.4,22.7,120,108,4.0
14,Michael Porter Jr.,Denver Nuggets,Boston Celtics,1,19,2,4,0,1,3,.684,.654,.538,0.0,13.4,7.7,8.5,0.0,2.7,24.6,105,114,-1.4
15,Nikola Jokić,Denver Nuggets,Boston Celtics,1,30,12,12,1,0,2,.908,.846,.154,0.0,40.9,23.7,59.9,1.5,0.0,24.5,194,106,27.3
16,Bruce Brown,Denver Nuggets,Boston Celtics,1,21,2,3,1,1,4,.727,.714,.429,0.0,10.8,6.2,9.8,1.6,2.9,27.3,108,111,2.6
17,Kentavious Caldwell-Pope,Denver Nuggets,Boston Celtics,1,6,4,3,1,0,2,.429,.429,.429,0.0,11.0,6.4,15.4,1.6,0.0,12.8,94,113,-5.0
18,Christian Braun,Denver Nuggets,Boston Celtics,1,2,0,2,0,0,0,1.000,1.000,.000,0.0,8.6,5.0,0.0,0.0,0.0,3.8,76,117,-4.8
19,Bones Hyland,Denver Nuggets,Boston Celtics,1,17,4,2,0,0,3,.683,.708,.583,0.0,11.4,6.6,36.5,0.0,0.0,40.8,100,116,-3.9
20,Vlatko Čančar,Denver Nuggets,Boston Celtics,1,8,0,1,0,0,2,1.000,1.000,.750,0.0,6.6,3.8,0.0,0.0,0.0,11.5,171,117,0.2
21,Zeke Nnaji,Denver Nuggets,Boston Celtics,1,2,0,1,0,1,0,1.000,1.000,.000,0.0,8.8,5.1,0.0,0.0,7.2,3.8,200,112,-0.1
22,Davon Reed,Denver Nuggets,Boston Celtics,1,0,0,1,0,0,0,,,,0.0,66.8,38.7,0.0,0.0,0.0,0.0,0,103,0.3
23,Ish Smith,Denver Nuggets,Boston Celtics,1,0,0,0,0,0,0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0,119,-37.6
24,Jack White,Denver Nuggets,Boston Celtics,1,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119,-4.1
