,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,D.Robinson u8.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0.0,Miami Heat,D.Robinson,Boston Celtics,1,0.9999999999999996,N,0.6086956521739131,1,0.6,1,0.4,0
2,J.Brown u5.5 Rebs,PropBomb,116,1.0,2.16,0.0,Boston Celtics,J.Brown,Miami Heat,0,1.16,N,0.45454545454545453,0,0.6,1,0.6,1
3,J.Tatum o2.5 3pt M,JoeDellera,-150,0.5,0.8333333333333333,0.2104000000000003,Boston Celtics,J.Tatum,Miami Heat,0,0.3333333333333332,N,0.58,1,0.4,0,0.5,0
4,J.Butler u6.5 Ast,JoeDellera,-162,0.65,1.0512345679012347,0.0,Miami Heat,J.Butler,Boston Celtics,1,0.4012345679012347,N,0.631578947368421,1,0.8,1,0.6,1
5,G.Williams o7.5 Pts,JoeDellera,-100,1.0,2.0,0.0,Boston Celtics,G.Williams,Miami Heat,0,1.0,N,0.5510204081632653,1,0.4,0,0.5,0
6,G.Williams o9.5 Pts,JoeDellera,200,0.5,1.5,0.0,Boston Celtics,G.Williams,Miami Heat,0,1.0,N,0.3877551020408163,0,0.2,0,0.2,0
7,J.Tatum o3.5 3pt M,JoeDellera,185,0.25,0.7125,0.0,Boston Celtics,J.Tatum,Miami Heat,0,0.4625,N,0.42,0,0.4,0,0.5,0
8,J.Tatum o4.5 3pt M,JoeDellera,500,0.25,1.5,0.0,Boston Celtics,J.Tatum,Miami Heat,0,1.25,N,0.3,0,0.4,0,0.4,0
9,B.Adebayo u17.5 Pts,MikeRandle,-115,1.0,1.869565217391304,1.8959,Miami Heat,B.Adebayo,Boston Celtics,1,0.8695652173913042,Y,0.25,0,0.8,1,0.6,1
10,M.Smart o2.5 3pt M,GDAWG5000,160,1.0,2.6,-6.760000000000001,Boston Celtics,M.Smart,Miami Heat,0,1.6,Y,0.3888888888888889,0,0.6,1,0.5,0
11,J.Butler o13.5 Rebs+Ast,charliedisturco,-115,1.15,2.1499999999999995,-2.42,Miami Heat,J.Butler,Boston Celtics,1,0.9999999999999996,Y,0.3157894736842105,0,0.2,0,0.4,0
12,J.Brown u32.5 Pts+Rebs+Ast,PropBetGuy,-106,1.59,3.0900000000000003,5.550000000000002,Boston Celtics,J.Brown,Miami Heat,0,1.5000000000000002,N,0.29545454545454547,0,0.2,0,0.3,0
