,Unnamed: 0,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,3,3.0,8.0,8,8.0,L.James o46.5 Pts+Rebs+Ast,daletanhardt,-120,1.25,2.291666666666667,0,Los Angeles Lakers,L.James,Dallas Mavericks,1,1.041666666666667,0.3939393939393939,0.0,0.8,1.0,0.6,1.0
4,4,4.0,9.0,9,9.0,R.Westbrook o30.5 Pts+Rebs+Ast,JoeDellera,-122,0.41,0.7460655737704918,0,Los Angeles Lakers,R.Westbrook,Dallas Mavericks,1,0.3360655737704918,0.475,0.0,1.0,1.0,0.8,1.0
5,5,5.0,10.0,10,10.0,R.Westbrook o30.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0,Los Angeles Lakers,R.Westbrook,Dallas Mavericks,1,0.819672131147541,0.475,0.0,1.0,1.0,0.8,1.0
10,10,10.0,17.0,17,17.0,A.Simons u27.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0,Portland Trail Blazers,A.Simons,Cleveland Cavaliers,1,0.819672131147541,0.4390243902439024,0.0,0.6,1.0,0.6,1.0
12,12,12.0,21.0,21,21.0,M.Plumlee o25.5 Pts+Rebs+Ast,PropBetGuy,-105,1.0,1.9523809523809523,0,Charlotte Hornets,M.Plumlee,Toronto Raptors,0,0.9523809523809524,0.3636363636363636,0.0,1.0,1.0,0.7,1.0
8,8,,,8,,L.James o46.5 Pts+Rebs+Ast,daletanhardt,-120,1.25,2.291666666666667,0,Los Angeles Lakers,L.James,Dallas Mavericks,1,1.041666666666667,,,,,,
9,9,,,9,,R.Westbrook o30.5 Pts+Rebs+Ast,JoeDellera,-122,0.41,0.7460655737704918,0,Los Angeles Lakers,R.Westbrook,Dallas Mavericks,1,0.3360655737704918,,,,,,
10,10,,,10,,R.Westbrook o30.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0,Los Angeles Lakers,R.Westbrook,Dallas Mavericks,1,0.819672131147541,,,,,,
17,17,,,17,,A.Simons u27.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0,Portland Trail Blazers,A.Simons,Cleveland Cavaliers,1,0.819672131147541,,,,,,
18,18,,,18,,D.Garland o29.5 Pts+Rebs+Ast,JoeMetz,-120,1.0,1.8333333333333333,0,Cleveland Cavaliers,D.Garland,Portland Trail Blazers,0,0.8333333333333333,,,,,,
21,21,,,21,,M.Plumlee o25.5 Pts+Rebs+Ast,PropBetGuy,-105,1.0,1.9523809523809523,0,Charlotte Hornets,M.Plumlee,Toronto Raptors,0,0.9523809523809524,,,,,,
