,Unnamed: 0,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,3,3.0,7.0,7.0,7,7,K.Porzingis u9.5 Rebs,SBK5065,-114,0.57,1.0699999999999998,8.4506,Washington Wizards,K.Porzingis,Indiana Pacers,0,0.4999999999999999,0.6052631578947368,1.0,0.6,1.0,0.4,0.0
6,6,6.0,10.0,10.0,10,10,M.Turner u8.5 Rebs,SBK5065,-130,0.65,1.15,8.4506,Indiana Pacers,M.Turner,Washington Wizards,1,0.4999999999999999,0.6,1.0,0.6,1.0,0.6,1.0
18,18,18.0,41.0,41.0,41,41,M.Bridges u4.5 Rebs,GreenDotDaily,-125,1.0,1.8,0.0,Phoenix Suns,M.Bridges,New Orleans Pelicans,0,0.8,0.5454545454545454,1.0,0.6,1.0,0.7,1.0
19,19,19.0,45.0,45.0,45,45,D.Ayton o8.5 Rebs,ChicagoFlow,140,0.75,1.7999999999999998,0.0,Phoenix Suns,D.Ayton,New Orleans Pelicans,0,1.0499999999999998,0.5526315789473685,1.0,0.8,1.0,0.6,1.0
20,20,20.0,46.0,46.0,46,46,Z.Williamson u8.5 Rebs,ChicagoFlow,-105,0.15,0.2928571428571428,0.0,New Orleans Pelicans,Z.Williamson,Phoenix Suns,1,0.1428571428571428,0.7241379310344828,1.0,0.8,1.0,0.8,1.0
7,7,,,,7,7,K.Porzingis u9.5 Rebs,SBK5065,-114,0.57,1.0699999999999998,8.4506,Washington Wizards,K.Porzingis,Indiana Pacers,0,0.4999999999999999,,,,,,
10,10,,,,10,10,M.Turner u8.5 Rebs,SBK5065,-130,0.65,1.15,8.4506,Indiana Pacers,M.Turner,Washington Wizards,1,0.4999999999999999,,,,,,
18,18,,,,18,18,K.Durant o6.5 Rebs,SBK5065,-130,0.65,1.15,8.4506,Brooklyn Nets,K.Durant,Atlanta Hawks,1,0.4999999999999999,,,,,,
34,34,,,,34,34,J.Konchar o5.5 Rebs,SBK5065,-120,1.2,2.2,8.4506,Memphis Grizzlies,J.Konchar,Detroit Pistons,1,1.0000000000000002,,,,,,
40,40,,,,40,40,D.Booker o4.5 Rebs,SBK5065,-106,0.53,1.03,8.4506,Phoenix Suns,D.Booker,New Orleans Pelicans,0,0.5,,,,,,
41,41,,,,41,41,M.Bridges u4.5 Rebs,GreenDotDaily,-125,1.0,1.8,0.0,Phoenix Suns,M.Bridges,New Orleans Pelicans,0,0.8,,,,,,
45,45,,,,45,45,D.Ayton o8.5 Rebs,ChicagoFlow,140,0.75,1.7999999999999998,0.0,Phoenix Suns,D.Ayton,New Orleans Pelicans,0,1.0499999999999998,,,,,,
46,46,,,,46,46,Z.Williamson u8.5 Rebs,ChicagoFlow,-105,0.15,0.2928571428571428,0.0,New Orleans Pelicans,Z.Williamson,Phoenix Suns,1,0.1428571428571428,,,,,,
