,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,3.0,3.0,4.0,4,9,T.Warren o19.5 Pts,JoeDellera,330,0.2,0.86,0,Brooklyn Nets,T.Warren,Oklahoma City Thunder,1.0,0.6599999999999999,0.1111111111111111,0.0,0.2,0.0,0.2,0.0
7,7.0,7.0,9.0,9,16,S.Dinwiddie o20.5 Pts,SBK5065,-105,0.5,0.9761904761904762,0,Dallas Mavericks,S.Dinwiddie,Portland Trail Blazers,0.0,0.4761904761904761,0.25,0.0,0.6,1.0,0.3,0.0
12,12.0,12.0,15.0,15,22,N.Jokic u25.5 Pts,SBK5065,-107,0.5,0.9672897196261684,0,Denver Nuggets,N.Jokic,Orlando Magic,1.0,0.4672897196261684,0.5384615384615384,1.0,0.8,1.0,0.7,1.0
13,13.0,13.0,16.0,16,23,N.Jokic u25.5 Pts,PropBetGuy,-110,1.0,1.9090909090909087,0,Denver Nuggets,N.Jokic,Orlando Magic,1.0,0.9090909090909088,0.5384615384615384,1.0,0.8,1.0,0.7,1.0
14,14.0,14.0,19.0,19,26,S.Bey o16.5 Pts,SBK5065,-125,0.5,0.9,0,Detroit Pistons,S.Bey,New York Knicks,1.0,0.4,0.3720930232558139,0.0,0.8,1.0,0.5,0.0
15,15.0,15.0,20.0,20,27,S.Bey o16.5 Pts,JoeDellera,-115,0.22,0.4113043478260869,0,Detroit Pistons,S.Bey,New York Knicks,1.0,0.1913043478260868,0.3720930232558139,0.0,0.8,1.0,0.5,0.0
16,16.0,16.0,21.0,21,28,S.Bey o16.5 Pts,PropBetGuy,-125,1.0,1.8,0,Detroit Pistons,S.Bey,New York Knicks,1.0,0.8,0.3720930232558139,0.0,0.8,1.0,0.5,0.0
18,18.0,18.0,24.0,24,31,T.Jones o15.5 Pts,PropBetGuy,-120,1.0,1.8333333333333333,0,San Antonio Spurs,T.Jones,Sacramento Kings,1.0,0.8333333333333333,0.3720930232558139,0.0,1.0,1.0,0.7,1.0
15,,,,15,22,N.Jokic u25.5 Pts,SBK5065,-107,0.5,0.9672897196261684,0,Denver Nuggets,N.Jokic,Orlando Magic,1.0,0.4672897196261684,,,,,,
16,,,,16,23,N.Jokic u25.5 Pts,PropBetGuy,-110,1.0,1.9090909090909087,0,Denver Nuggets,N.Jokic,Orlando Magic,1.0,0.9090909090909088,,,,,,
17,,,,17,24,J.Murray o18.5 Pts,HPBasketball,-120,0.6,1.1,0,Denver Nuggets,J.Murray,Orlando Magic,1.0,0.5000000000000001,,,,,,
24,,,,24,31,T.Jones o15.5 Pts,PropBetGuy,-120,1.0,1.8333333333333333,0,San Antonio Spurs,T.Jones,Sacramento Kings,1.0,0.8333333333333333,,,,,,
