,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,1.0,1.0,14.0,14,14,14,L.Markkanen o24.5 Pts,KurtisSenif,110,0.22,0.462,,Utah Jazz,L.Markkanen,San Antonio Spurs,0,0.242,0.4285714285714285,0.0,0.8,1.0,0.9,1.0
3,3.0,3.0,16.0,16,16,16,M.Turner o14.5 Pts,PropBomb,-106,1.2,2.332075471698113,,Indiana Pacers,M.Turner,New Orleans Pelicans,0,1.1320754716981132,0.6,1.0,0.8,1.0,0.5,0.0
4,4.0,4.0,17.0,17,17,17,L.Markkanen o23.5 Pts,KurtisSenif,-110,0.27,0.5154545454545455,,Utah Jazz,L.Markkanen,San Antonio Spurs,0,0.2454545454545454,0.5476190476190477,1.0,0.8,1.0,0.9,1.0
5,5.0,5.0,18.0,18,18,18,T.Warren o9.5 Pts,PropBomb,-112,1.0,1.8928571428571428,,Brooklyn Nets,T.Warren,Cleveland Cavaliers,0,0.8928571428571428,0.6666666666666666,1.0,0.6,1.0,0.7,1.0
9,9.0,9.0,28.0,28,28,28,Z.LaVine o22.5 Pts,SBK5065,-115,0.58,1.0843478260869563,,Chicago Bulls,Z.LaVine,Houston Rockets,1,0.5043478260869564,0.5,0.0,1.0,1.0,0.8,1.0
14,,,,14,14,14,L.Markkanen o24.5 Pts,KurtisSenif,110,0.22,0.462,,Utah Jazz,L.Markkanen,San Antonio Spurs,0,0.242,,,,,,
17,,,,17,17,17,L.Markkanen o23.5 Pts,KurtisSenif,-110,0.27,0.5154545454545455,,Utah Jazz,L.Markkanen,San Antonio Spurs,0,0.2454545454545454,,,,,,
18,,,,18,18,18,T.Warren o9.5 Pts,PropBomb,-112,1.0,1.8928571428571428,,Brooklyn Nets,T.Warren,Cleveland Cavaliers,0,0.8928571428571428,,,,,,
28,,,,28,28,28,Z.LaVine o22.5 Pts,SBK5065,-115,0.58,1.0843478260869563,,Chicago Bulls,Z.LaVine,Houston Rockets,1,0.5043478260869564,,,,,,
38,,,,38,38,38,D.Mitchell o26.5 Pts,SBK5065,-125,0.63,1.134,,Cleveland Cavaliers,D.Mitchell,Brooklyn Nets,1,0.5039999999999999,,,,,,
