,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,K.Anderson o10.5 Rebs+Ast,JoeDellera,-120,0.42,0.77,0,Minnesota Timberwolves,K.Anderson,Toronto Raptors,1,0.35,0.4102564102564102,0,1.0,1,0.8,1,Y
1,1,1,1,K.Anderson Yes1000 Double-Double,JoeDellera,1225,1.23,16.2975,0,Minnesota Timberwolves,K.Anderson,Toronto Raptors,1,15.0675,0.1794871794871795,0,1.0,1,0.6,1,Y
2,5,5,5,G.Trent o18.5 Pts,JoeDellera,-120,0.83,1.5216666666666667,0,Toronto Raptors,G.Trent,Minnesota Timberwolves,0,0.6916666666666668,0.5555555555555556,1,1.0,1,0.5,0,N
3,6,6,6,G.Trent o24.5 Pts,JoeDellera,300,0.15,0.6,0,Toronto Raptors,G.Trent,Minnesota Timberwolves,0,0.4499999999999999,0.2222222222222222,0,1.0,1,0.5,0,N
4,7,7,7,J.Tatum o39.5 Pts+Rebs,PropBetGuy,-115,1.0,1.869565217391304,0,Boston Celtics,J.Tatum,Golden State Warriors,1,0.869565217391304,0.5,0,1.0,1,0.8,1,Y
5,9,9,9,K.Hayes o24.5 Pts+Rebs+Ast,charliedisturco,-110,0.55,1.05,0,Detroit Pistons,K.Hayes,Chicago Bulls,1,0.5,0.2954545454545454,0,0.6,1,0.6,1,N
6,11,11,11,Z.LaVine o25.5 Pts,SBK5065,-116,0.34,0.6331034482758621,0,Chicago Bulls,Z.LaVine,Detroit Pistons,0,0.293103448275862,0.325,0,0.8,1,0.7,1,Y
7,12,12,12,T.Craig u17.5 Pts+Rebs+Ast,PropBetGuy,-125,1.0,1.8,0,Phoenix Suns,T.Craig,Brooklyn Nets,1,0.8,0.5777777777777777,1,0.8,1,0.6,1,Y
8,13,13,13,N.Claxton o2.5 Blk,JoeDellera,-145,0.69,1.1658620689655173,0,Brooklyn Nets,N.Claxton,Phoenix Suns,0,0.4758620689655173,0.5909090909090909,1,1.0,1,1.0,1,Y
9,14,14,14,J.Nurkic u17.5 Pts+Ast,PropBetGuy,-120,1.0,1.8333333333333333,0,Portland Trail Blazers,J.Nurkic,Philadelphia 76ers,1,0.8333333333333333,0.5116279069767442,1,1.0,1,0.6,1,Y
