,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,0,0,M.Plumlee u4.5 Ast,SBK5065,-135,0.68,1.1837037037037037,10.2692,Charlotte Hornets,M.Plumlee,Los Angeles Clippers,1,0.5037037037037037,0.75,1,0.8,1,0.9,1,Y
1,1,1,1,1,1,K.Oubre u5.5 Rebs,SBK5065,-120,0.6,1.1,10.2692,Charlotte Hornets,K.Oubre,Los Angeles Clippers,1,0.5000000000000001,0.6285714285714286,1,0.8,1,0.7,1,N
2,2,2,2,2,2,K.Oubre u21.5 Pts+Ast,JoeDellera,-110,0.25,0.4772727272727273,0.0,Charlotte Hornets,K.Oubre,Los Angeles Clippers,1,0.2272727272727273,0.5714285714285714,1,0.8,1,0.6,1,N
3,3,3,3,3,3,K.Oubre u20.5 Pts,PropBetGuy,-125,1.25,2.25,-22.5757,Charlotte Hornets,K.Oubre,Los Angeles Clippers,1,1.0,0.6,1,0.8,1,0.6,1,N
4,4,5,5,5,5,P.Banchero o2.5 Ast,SBK5065,-140,0.7,1.2,10.2692,Orlando Magic,P.Banchero,Milwaukee Bucks,1,0.5,0.8108108108108109,1,0.8,1,0.8,1,Y
5,5,6,6,6,6,P.Siakam o23.5 Pts,PropBomb,-105,1.05,2.05,0.0,Toronto Raptors,P.Siakam,Boston Celtics,1,0.9999999999999998,0.5757575757575758,1,0.6,1,0.7,1,Y
6,6,7,7,7,7,F.VanVleet u17.5 Pts,SBK5065,-125,0.63,1.134,10.2692,Toronto Raptors,F.VanVleet,Boston Celtics,1,0.5039999999999999,0.5142857142857142,1,0.8,1,0.6,1,Y
7,7,9,9,9,9,D.Murray u6.5 Ast,SBK5065,-130,0.65,1.15,10.2692,Atlanta Hawks,D.Murray,Oklahoma City Thunder,1,0.4999999999999999,0.631578947368421,1,1.0,1,0.7,1,Y
8,8,10,10,10,10,C.Capela o12.5 Pts,SBK5065,-115,0.58,1.0843478260869563,10.2692,Atlanta Hawks,C.Capela,Oklahoma City Thunder,1,0.5043478260869564,0.5185185185185185,1,0.8,1,0.6,1,Y
9,9,11,11,11,11,J.Giddey u6.5 Ast,SBK5065,-132,0.66,1.16,10.2692,Oklahoma City Thunder,J.Giddey,Atlanta Hawks,0,0.4999999999999999,0.6923076923076923,1,0.4,0,0.6,1,Y
10,10,13,13,13,13,K.Lowry u6.5 Ast,SBK5065,-135,0.68,1.1837037037037037,10.2692,Miami Heat,K.Lowry,Memphis Grizzlies,0,0.5037037037037037,0.6944444444444444,1,1.0,1,0.9,1,Y
11,11,14,14,14,14,S.Adams o8.5 Pts,SBK5065,-120,0.6,1.1,10.2692,Memphis Grizzlies,S.Adams,Miami Heat,1,0.5000000000000001,0.5,0,0.8,1,0.7,1,N
12,12,15,15,15,15,J.Harden o7.5 Ast,SBK5065,-128,0.64,1.14,0.0,Philadelphia 76ers,J.Harden,Houston Rockets,0,0.4999999999999999,0.8928571428571429,1,1.0,1,1.0,1,N
13,13,18,18,18,18,T.Harris o1.5 3pt M,JoeDellera,-136,0.5,0.8676470588235294,-4.1931,Philadelphia 76ers,T.Harris,Houston Rockets,0,0.3676470588235294,0.5641025641025641,1,0.6,1,0.4,0,Y
14,14,21,21,21,21,S.Curry o5.5 Rebs,SBK5065,-118,0.59,1.09,0.0,Golden State Warriors,S.Curry,Indiana Pacers,1,0.5000000000000001,0.6206896551724138,1,0.6,1,0.5,0,N
