,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,J.Clarkson u33.5 Pts+Rebs+Ast,PropBetGuy,-110,1.1,2.1,0,Utah Jazz,J.Clarkson,Oklahoma City Thunder,1.0,1.0,0.7413793103448276,1,0.8,1,0.9,1,N
1,1,1,1,T.Horton-Tucker u22.5 Pts+Ast,SBK5065,-120,0.5,0.9166666666666669,0,Utah Jazz,T.Horton-Tucker,Oklahoma City Thunder,1.0,0.4166666666666668,0.9565217391304348,1,0.8,1,0.9,1,Y
2,2,2,2,T.Horton-Tucker u26.5 Pts+Rebs+Ast,SBK5065,-110,0.5,0.9545454545454546,0,Utah Jazz,T.Horton-Tucker,Oklahoma City Thunder,1.0,0.4545454545454546,0.9130434782608696,1,0.6,1,0.8,1,Y
3,6,6,6,M.Thybulle u10.5 Pts,SBK5065,-108,1.0,1.925925925925926,0,Portland Trail Blazers,M.Thybulle,Sacramento Kings,0.0,0.925925925925926,0.5,0,0.5,0,0.5,0,Y
4,9,9,9,C.Reddish o10.5 Pts,JoeMetz,-125,1.0,1.8,0,Portland Trail Blazers,C.Reddish,Sacramento Kings,0.0,0.8,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
5,10,10,10,C.LeVert o6.5 Rebs+Ast,SBK5065,-111,0.45,0.8554054054054054,0,Cleveland Cavaliers,C.LeVert,Denver Nuggets,1.0,0.4054054054054054,0.6545454545454545,1,0.6,1,0.6,1,Y
6,12,12,12,G.Trent o18.5 Pts,SBK5065,-110,0.55,1.05,0,Toronto Raptors,G.Trent,New Orleans Pelicans,1.0,0.5,0.56,1,0.6,1,0.6,1,N
7,13,13,13,P.Siakam o24.5 Pts,SBK5065,-115,0.5,0.934782608695652,0,Toronto Raptors,P.Siakam,New Orleans Pelicans,1.0,0.434782608695652,0.4897959183673469,0,0.8,1,0.4,0,Y
8,14,14,14,G.Trent u19.5 Pts,SBK5065,-115,0.43,0.8039130434782608,0,Toronto Raptors,G.Trent,New Orleans Pelicans,1.0,0.3739130434782607,0.58,1,0.6,1,0.6,1,Y
9,17,17,17,D.Melton o1.5 Stl+Blk,SBK5065,-120,0.6,1.1,0,Philadelphia 76ers,D.Melton,Memphis Grizzlies,1.0,0.5000000000000001,0.9629629629629628,1,0.8,1,0.9,1,N
10,19,19,19,D.Bane o29.5 Pts+Rebs+Ast,JoeMetz,-112,1.0,1.8928571428571428,0,Memphis Grizzlies,D.Bane,Philadelphia 76ers,0.0,0.8928571428571428,0.5428571428571428,1,0.8,1,0.6,1,Y
11,20,20,20,C.Wood u16.5 Pts,SBK5065,-115,0.5,0.934782608695652,0,Dallas Mavericks,C.Wood,San Antonio Spurs,1.0,0.434782608695652,0.4375,0,0.6,1,0.5,0,Y
12,22,22,24,J.Wiseman o9.5 Pts,SBK5065,-110,0.4,0.7636363636363637,0,Detroit Pistons,J.Wiseman,Orlando Magic,0.0,0.3636363636363636,1.0,1,1.0,1,1.0,1,N
13,24,24,26,L.James o7.5 Rebs,charliedisturco,100,0.5,1.0,0,Los Angeles Lakers,L.James,Golden State Warriors,1.0,0.5,0.6222222222222222,1,0.4,0,0.7,1,Y
