,Unnamed: 0,Unnamed: 0.1,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,M.Fultz o0.5 3pt M,Orlando Magic,GDAWG5000,135,0.5,1.175,2.1476999999999995,M.Fultz,Charlotte Hornets,0,0.675,0.2857142857142857,0,0.8,1,0.5,0,N
1,1,1,P.Banchero o10.5 Rebs+Ast,Orlando Magic,JoeDellera,-135,0.8,1.3925925925925926,-10.5073,P.Banchero,Charlotte Hornets,0,0.5925925925925926,0.4464285714285714,0,0.6,1,0.7,1,Y
2,2,2,J.Tatum o29.5 Pts,Boston Celtics,charliedisturco,130,0.5,1.15,3.035,J.Tatum,Brooklyn Nets,1,0.6499999999999999,0.576271186440678,1,0.6,1,0.5,0,N
3,4,4,J.Grant u30.5 Pts+Rebs+Ast,Portland Trail Blazers,PropBetGuy,-113,1.13,2.13,-0.5899999999999999,J.Grant,Atlanta Hawks,0,1.0,0.6491228070175439,1,0.6,1,0.8,1,Y
4,6,6,M.Thybulle o2.5 Stl+Blk,Portland Trail Blazers,SBK5065,-100,1.0,2.0,0.0,M.Thybulle,Atlanta Hawks,0,1.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,Y
5,10,10,T.Young o26.5 Pts,Atlanta Hawks,JoeDellera,-110,1.0,1.9090909090909087,-10.5073,T.Young,Portland Trail Blazers,1,0.9090909090909092,0.509090909090909,1,0.6,1,0.5,0,N
6,12,12,T.Young o29.5 Pts,Atlanta Hawks,JoeDellera,140,0.25,0.6,0.0,T.Young,Portland Trail Blazers,1,0.35,0.3818181818181818,0,0.6,1,0.4,0,N
7,13,13,T.Horton-Tucker u16.5 Pts,Utah Jazz,PropBetGuy,-120,1.2,2.2,-0.5899999999999999,T.Horton-Tucker,Oklahoma City Thunder,0,1.0000000000000002,0.9387755102040816,1,1.0,1,0.9,1,Y
8,14,14,J.Williams o4.5 Ast,Oklahoma City Thunder,Noto,120,1.0,2.2,1.4804999999999997,J.Williams,Utah Jazz,1,1.2000000000000002,0.1477272727272727,0,0.4,0,0.3,0,N
9,18,18,C.Paul o8.5 Ast,Phoenix Suns,PropBomb,-135,1.35,2.35,5.2734000000000005,C.Paul,Chicago Bulls,0,1.0,0.5714285714285714,1,0.6,1,0.6,1,Y
10,19,19,J.Murray u32.5 Pts+Rebs+Ast,Denver Nuggets,PropBetGuy,-115,1.15,2.1499999999999995,-0.5899999999999999,J.Murray,Memphis Grizzlies,1,0.9999999999999996,0.5918367346938775,1,0.4,0,0.3,0,N
11,20,20,J.Murray u32.5 Pts+Rebs+Ast,Denver Nuggets,SBK5065,-115,0.58,1.0843478260869563,9.886200000000002,J.Murray,Memphis Grizzlies,1,0.5043478260869564,0.5918367346938775,1,0.4,0,0.3,0,N
