,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm,date
0,J.Sochan,San Antonio Spurs,Atlanta Hawks,0,38.05,23,4,8,2,2,2,.632,.563,.250,7.3,13.1,10.1,18.1,2.4,4.6,23.4,110,103,4.8,1000015
1,D.Vassell,San Antonio Spurs,Atlanta Hawks,0,30.27,4,4,4,0,1,0,.182,.182,.455,3.0,9.9,6.3,18.1,0.0,2.9,14.5,61,111,-9.6,1000015
2,T.Jones,San Antonio Spurs,Atlanta Hawks,0,30.11,6,12,1,3,0,0,.375,.375,.125,0.0,3.3,1.6,57.4,4.5,0.0,14.6,92,104,1.6,1000015
3,V.Wembanyama,San Antonio Spurs,Atlanta Hawks,0,27.05,26,2,13,2,5,1,.705,.694,.278,6.8,40.6,23.0,21.2,3.4,16.1,31.8,115,84,18.4,1000015
4,J.Champagnie,San Antonio Spurs,Atlanta Hawks,0,20.05,15,1,1,1,0,5,.938,.938,1.000,0.0,5.0,2.4,9.2,2.3,0.0,16.0,162,109,15.4,1000015
5,K.Johnson,San Antonio Spurs,Atlanta Hawks,0,26.10,5,0,6,1,0,0,.189,.091,.455,7.1,15.3,11.0,0.0,1.7,0.0,27.9,36,106,-24.7,1000015
6,D.Barlow,San Antonio Spurs,Atlanta Hawks,0,16.48,4,1,7,1,0,0,.347,.250,.000,0.0,41.7,20.0,8.1,2.7,0.0,13.8,81,95,-4.2,1000015
7,D.McDermott,San Antonio Spurs,Atlanta Hawks,0,15.16,6,0,1,0,0,2,.600,.600,1.000,0.0,6.6,3.1,0.0,0.0,0.0,13.2,110,114,-3.7,1000015
8,B.Wesley,San Antonio Spurs,Atlanta Hawks,0,12.38,3,3,2,0,0,0,.307,.250,.500,7.3,7.9,7.6,33.3,0.0,0.0,18.7,80,113,-7.1,1000015
9,C.Osman,San Antonio Spurs,Atlanta Hawks,0,11.59,3,0,1,0,0,1,.300,.300,1.000,0.0,8.3,4.0,0.0,0.0,0.0,20.1,49,113,-19.2,1000015
10,M.Branham,San Antonio Spurs,Atlanta Hawks,0,9.51,4,0,0,0,0,0,.500,.500,.250,0.0,0.0,0.0,0.0,0.0,0.0,16.3,94,116,-8.7,1000015
11,S.Mamukelashvili,San Antonio Spurs,Atlanta Hawks,0,1.24,0,0,0,0,0,0,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0,116,-32.0,1000015
12,T.Young,Atlanta Hawks,San Antonio Spurs,1,37.36,36,13,6,1,1,6,.644,.583,.458,0.0,14.7,7.7,63.9,1.2,2.4,33.4,135,95,17.5,1000015
13,J.Johnson,Atlanta Hawks,San Antonio Spurs,1,37.36,16,7,10,6,0,1,.595,.577,.154,0.0,24.5,12.8,28.8,7.3,0.0,19.9,99,81,7.6,1000015
14,D.Murray,Atlanta Hawks,San Antonio Spurs,1,32.50,13,0,13,0,1,1,.433,.433,.400,0.0,36.5,19.0,0.0,0.0,2.8,21.0,78,92,-7.9,1000015
15,S.Bey,Atlanta Hawks,San Antonio Spurs,1,32.50,10,2,5,0,0,1,.465,.389,.778,12.2,2.8,7.3,8.2,0.0,0.0,13.3,123,102,-2.9,1000015
16,C.Capela,Atlanta Hawks,San Antonio Spurs,1,24.51,13,0,11,0,4,0,.674,.714,.000,24.1,18.6,21.2,0.0,0.0,14.6,17.4,137,88,5.6,1000015
17,B.Bogdanovic,Atlanta Hawks,San Antonio Spurs,1,25.34,5,1,2,1,0,1,.250,.250,.600,0.0,7.2,3.8,5.2,1.8,0.0,20.6,46,97,-15.6,1000015
18,O.Okongwu,Atlanta Hawks,San Antonio Spurs,1,23.09,7,1,6,0,0,0,.415,.375,.125,8.6,15.9,12.4,6.1,0.0,0.0,18.3,83,99,-10.6,1000015
19,G.Mathews,Atlanta Hawks,San Antonio Spurs,1,13.12,6,0,0,0,0,2,.750,.750,1.000,0.0,0.0,0.0,0.0,0.0,0.0,12.3,146,103,3.0,1000015
20,T.Forrest,Atlanta Hawks,San Antonio Spurs,1,12.22,3,0,3,0,0,1,.500,.500,.333,8.1,14.9,11.6,0.0,0.0,0.0,9.8,119,99,-5.0,1000015
21,B.Adebayo,Miami Heat,Brooklyn Nets,0,43.49,11,4,20,1,1,0,.308,.294,.059,5.1,38.2,23.3,18.0,1.2,2.7,21.9,69,86,-3.3,1000015
22,J.Butler,Miami Heat,Brooklyn Nets,0,40.18,31,4,5,2,0,0,.814,.667,.000,5.6,6.9,6.3,23.4,2.6,0.0,24.0,164,95,16.2,1000015
23,T.Herro,Miami Heat,Brooklyn Nets,0,37.37,29,2,11,0,0,4,.610,.591,.500,3.0,24.7,14.9,16.1,0.0,0.0,35.6,99,95,4.4,1000015
24,K.Lowry,Miami Heat,Brooklyn Nets,0,23.54,2,5,4,1,0,0,.200,.200,.400,0.0,15.6,8.5,36.0,2.2,0.0,12.1,65,93,-5.0,1000015
25,N.Jovic,Miami Heat,Brooklyn Nets,0,18.44,5,2,3,0,0,1,.625,.625,.750,0.0,14.9,8.2,20.7,0.0,0.0,10.3,129,98,4.1,1000015
26,C.Martin,Miami Heat,Brooklyn Nets,0,33.59,9,1,3,1,1,1,.507,.438,.500,0.0,8.2,4.5,5.5,1.5,3.5,14.0,92,95,-1.1,1000015
27,J.Richardson,Miami Heat,Brooklyn Nets,0,27.58,9,1,5,0,1,2,.335,.308,.462,4.0,13.3,9.1,6.9,0.0,4.3,24.9,68,96,-7.0,1000015
28,D.Robinson,Miami Heat,Brooklyn Nets,0,21.48,0,2,2,1,1,0,.000,.000,.750,0.0,8.5,4.7,14.7,2.4,5.5,13.3,16,92,-11.0,1000015
29,H.Highsmith,Miami Heat,Brooklyn Nets,0,11.57,0,0,1,0,0,0,.000,.000,.500,0.0,7.8,4.3,0.0,0.0,0.0,8.1,0,101,-15.5,1000015
30,T.Bryant,Miami Heat,Brooklyn Nets,0,4.54,0,1,0,0,0,0,,,,0.0,0.0,0.0,32.8,0.0,0.0,0.0,224,103,3.4,1000015
31,M.Bridges,Brooklyn Nets,Miami Heat,1,43.51,26,6,9,2,2,2,.525,.478,.435,4.2,18.0,10.5,33.1,2.4,4.3,27.3,109,92,9.7,1000015
32,N.Claxton,Brooklyn Nets,Miami Heat,1,42.35,9,2,13,0,2,0,.477,.444,.000,4.4,29.1,15.6,8.6,0.0,4.4,11.4,97,95,-3.7,1000015
33,D.Finney-Smith,Brooklyn Nets,Miami Heat,1,28.20,5,2,7,0,2,1,.363,.250,.833,6.6,19.9,12.6,11.6,0.0,6.7,11.3,99,95,-0.7,1000015
34,C.Johnson,Brooklyn Nets,Miami Heat,1,22.33,6,0,2,0,0,0,.231,.231,.615,0.0,10.0,4.5,0.0,0.0,0.0,26.8,47,103,-19.6,1000015
35,S.Dinwiddie,Brooklyn Nets,Miami Heat,1,20.24,3,1,0,3,0,1,.250,.250,1.000,0.0,0.0,0.0,8.3,7.6,0.0,15.9,48,88,-7.0,1000015
36,D.Smith,Brooklyn Nets,Miami Heat,1,32.23,8,5,5,4,1,1,.450,.438,.500,2.9,13.9,7.9,28.1,6.4,2.9,15.6,89,85,3.5,1000015
37,C.Thomas,Brooklyn Nets,Miami Heat,1,31.47,23,3,2,0,0,2,.498,.400,.500,0.0,7.1,3.2,22.4,0.0,0.0,36.7,95,103,-0.9,1000015
38,R.O'Neale,Brooklyn Nets,Miami Heat,1,30.10,15,5,9,0,1,5,.750,.750,1.000,3.1,29.9,15.2,34.8,0.0,3.1,15.4,148,96,12.6,1000015
39,L.Walker,Brooklyn Nets,Miami Heat,1,9.09,0,1,2,0,1,0,.000,.000,.667,0.0,24.6,11.1,17.0,0.0,10.3,20.3,13,91,-18.0,1000015
40,T.Watford,Brooklyn Nets,Miami Heat,1,3.45,0,1,1,0,0,0,.000,.000,.000,24.8,0.0,13.6,41.6,0.0,0.0,12.4,84,105,-8.9,1000015
41,C.White,Chicago Bulls,Cleveland Cavaliers,0,38.08,18,3,4,1,2,1,.475,.367,.333,3.1,7.6,5.5,13.2,1.3,6.6,30.2,76,116,-5.8,1000015
42,D.DeRozan,Chicago Bulls,Cleveland Cavaliers,0,38.07,6,3,6,2,1,0,.375,.375,.125,0.0,15.1,8.3,12.1,2.6,3.3,11.7,71,111,-6.1,1000015
43,N.Vucevic,Chicago Bulls,Cleveland Cavaliers,0,37.04,17,4,10,0,0,1,.447,.447,.368,0.0,25.9,14.2,21.0,0.0,0.0,25.2,86,114,-2.7,1000015
44,Z.LaVine,Chicago Bulls,Cleveland Cavaliers,0,34.40,17,4,4,0,0,3,.607,.607,.429,0.0,11.1,6.1,21.9,0.0,0.0,21.8,100,121,-1.0,1000015
45,A.Caruso,Chicago Bulls,Cleveland Cavaliers,0,30.52,10,3,3,3,1,2,.556,.556,.556,0.0,9.3,5.1,16.2,4.8,4.1,15.8,94,107,4.1,1000015
46,A.Drummond,Chicago Bulls,Cleveland Cavaliers,0,22.13,8,1,10,2,2,0,.840,1.000,.000,15.8,30.2,23.7,7.6,4.4,11.4,13.5,125,95,7.7,1000015
47,A.Dosunmu,Chicago Bulls,Cleveland Cavaliers,0,19.13,10,3,3,0,0,1,.601,.500,.286,6.1,10.0,8.2,27.2,0.0,0.0,19.2,136,121,4.1,1000015
48,J.Carter,Chicago Bulls,Cleveland Cavaliers,0,11.02,5,0,2,0,0,1,.625,.625,.750,10.6,8.7,9.6,0.0,0.0,0.0,16.1,125,122,1.0,1000015
49,T.Taylor,Chicago Bulls,Cleveland Cavaliers,0,4.47,0,0,1,0,0,0,.000,.000,1.000,0.0,20.1,11.0,0.0,0.0,0.0,9.3,0,117,-17.0,1000015
