,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Victor Wembanyama,San Antonio Spurs,Golden State Warriors,0,35.09,22,4,9,1,2,1,.545,.472,.333,5.6,25.2,14.1,16.0,1.3,7.0,28.8,96,108,-2.2
1,Keldon Johnson,San Antonio Spurs,Golden State Warriors,0,34.04,22,4,12,2,0,3,.724,.731,.538,11.5,29.7,19.4,16.7,2.7,0.0,20.6,130,108,7.4
2,Jeremy Sochan,San Antonio Spurs,Golden State Warriors,0,32.58,7,4,6,0,0,1,.500,.500,.286,8.9,11.5,10.0,14.3,0.0,0.0,10.5,107,117,-5.4
3,Zach Collins,San Antonio Spurs,Golden State Warriors,0,30.30,6,6,8,0,0,0,.233,.167,.583,9.6,20.7,14.5,22.6,0.0,0.0,20.1,73,116,-12.1
4,Malaki Branham,San Antonio Spurs,Golden State Warriors,0,18.50,6,1,0,1,0,0,.333,.333,.556,0.0,0.0,0.0,6.8,2.4,0.0,20.5,71,113,-13.2
5,Devin Vassell,San Antonio Spurs,Golden State Warriors,0,27.21,24,1,4,1,0,4,.632,.632,.526,3.6,13.9,8.1,6.4,1.7,0.0,29.7,114,113,3.8
6,Doug McDermott,San Antonio Spurs,Golden State Warriors,0,19.16,7,4,1,3,0,1,.583,.583,.500,5.1,0.0,2.9,26.6,7.0,0.0,12.0,147,103,10.8
7,Cedi Osman,San Antonio Spurs,Golden State Warriors,0,17.52,11,0,1,0,0,1,.500,.500,.545,5.5,0.0,3.1,0.0,0.0,0.0,25.9,97,119,-9.9
8,Tre Jones,San Antonio Spurs,Golden State Warriors,0,16.57,7,2,5,2,0,1,.700,.700,.200,0.0,37.3,16.3,15.5,5.3,0.0,13.7,123,101,4.8
9,Charles Bassey,San Antonio Spurs,Golden State Warriors,0,7.03,0,2,0,0,1,0,,,,0.0,0.0,0.0,30.3,0.0,17.5,0.0,227,109,7.6
10,Stephen Curry,Golden State Warriors,San Antonio Spurs,1,34.49,35,6,3,1,0,7,.773,.725,.700,0.0,8.4,4.8,33.3,1.3,0.0,34.2,117,108,7.7
11,Klay Thompson,Golden State Warriors,San Antonio Spurs,1,28.50,15,6,3,1,0,3,.533,.409,.727,4.4,6.8,5.7,28.5,1.6,0.0,23.2,116,108,0.4
12,Andrew Wiggins,Golden State Warriors,San Antonio Spurs,1,24.40,10,0,4,0,0,2,.500,.500,.400,0.0,15.9,8.9,0.0,0.0,0.0,21.9,67,109,-12.6
13,Kevon Looney,Golden State Warriors,San Antonio Spurs,1,23.38,6,4,8,2,0,0,.694,.667,.000,5.3,29.0,18.7,22.6,3.8,0.0,11.1,123,95,4.0
14,Moses Moody,Golden State Warriors,San Antonio Spurs,1,16.54,9,1,4,0,0,1,.922,1.125,.250,14.9,11.6,13.1,9.9,0.0,0.0,16.9,112,110,2.7
15,Chris Paul,Golden State Warriors,San Antonio Spurs,1,28.58,5,10,5,0,0,1,.417,.417,.500,0.0,16.9,9.5,45.2,0.0,0.0,10.0,130,108,-3.1
16,Dario Šarić,Golden State Warriors,San Antonio Spurs,1,26.18,20,4,7,2,0,4,.842,.818,.636,9.6,18.6,14.7,26.8,3.4,0.0,23.5,131,100,11.7
