,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,date
0,A.Dosunmu,Chicago Bulls,Miami Heat,0,41.10,10,4,4,3,2,2,.315,.267,.733,2.6,8.7,5.5,14.8,3.6,4.8,18.2,74,113,4000000019
1,D.DeRozan,Chicago Bulls,Miami Heat,0,40.47,22,4,3,1,1,3,.619,.594,.375,0.0,8.8,4.2,18.4,1.2,2.4,20.4,118,120,4000000019
2,C.White,Chicago Bulls,Miami Heat,0,36.10,13,4,2,1,0,2,.385,.375,.500,0.0,6.6,3.1,18.7,1.4,0.0,25.6,68,122,4000000019
3,N.Vucevic,Chicago Bulls,Miami Heat,0,35.26,16,5,14,2,1,2,.471,.471,.294,3.0,44.0,22.3,26.5,2.8,2.8,23.7,92,108,4000000019
4,A.Caruso,Chicago Bulls,Miami Heat,0,33.10,6,4,3,0,1,2,.375,.375,.750,0.0,10.9,5.1,18.0,0.0,3.0,12.0,82,122,4000000019
5,J.Green,Chicago Bulls,Miami Heat,0,17.27,12,3,3,2,0,0,.872,.833,.167,12.2,6.9,9.7,38.8,5.7,0.0,17.5,186,112,4000000019
6,D.Terry,Chicago Bulls,Miami Heat,0,13.17,2,1,1,0,0,0,.250,.250,.250,8.0,0.0,4.3,11.5,0.0,0.0,16.7,59,127,4000000019
7,T.Craig,Chicago Bulls,Miami Heat,0,10.38,6,1,3,2,1,2,.600,.600,1.000,20.1,11.3,15.9,17.4,9.3,9.2,20.8,128,96,4000000019
8,A.Drummond,Chicago Bulls,Miami Heat,0,7.56,2,0,4,1,0,0,.250,.250,.000,0.0,60.5,28.5,0.0,6.2,0.0,33.5,31,97,4000000019
9,J.Carter,Chicago Bulls,Miami Heat,0,3.59,2,1,1,0,0,0,1.000,1.000,.000,0.0,30.1,14.2,52.5,0.0,0.0,11.1,210,120,4000000019
10,J.Jaquez,Miami Heat,Chicago Bulls,1,34.40,21,6,6,0,0,1,.591,.531,.188,3.5,15.4,9.8,30.9,0.0,0.0,24.1,129,99,4000000019
11,T.Herro,Miami Heat,Chicago Bulls,1,33.18,24,9,10,0,0,4,.640,.588,.529,3.6,28.8,17.0,49.0,0.0,0.0,31.8,116,96,4000000019
