,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,V.Wembanyama o2.5 Blk,HPBasketball,110,1.0,2.1,San Antonio Spurs,V.Wembanyama,Dallas Mavericks,1,1.1,N,0.0,0,0.0,0,0.0,0
1,V.Wembanyama o25.5 Pts+Rebs+Ast,JoeMetz,-125,1.25,2.25,San Antonio Spurs,V.Wembanyama,Dallas Mavericks,1,1.0,N,0.0,0,0.0,0,0.0,0
2,K.Johnson u20.5 Pts,SBK5065,-115,0.5,0.934782608695652,San Antonio Spurs,K.Johnson,Dallas Mavericks,1,0.4347826086956521,Y,1.0,1,1.0,1,1.0,1
3,J.Sochan o3.5 Ast,SBK5065,100,0.5,1.0,San Antonio Spurs,J.Sochan,Dallas Mavericks,1,0.5,Y,1.0,1,1.0,1,1.0,1
4,J.Sochan o3.5 Ast,PropBetGuy,110,1.1,2.3100000000000005,San Antonio Spurs,J.Sochan,Dallas Mavericks,1,1.2100000000000004,Y,1.0,1,1.0,1,1.0,1
5,V.Wembanyama o2.5 Blk,JoeMetz,112,1.0,2.12,San Antonio Spurs,V.Wembanyama,Dallas Mavericks,1,1.12,N,0.0,0,0.0,0,0.0,0
6,V.Wembanyama o19.5 Pts,GDAWG5000,235,0.5,1.675,San Antonio Spurs,V.Wembanyama,Dallas Mavericks,1,1.175,N,0.0,0,0.0,0,0.0,0
7,B.Miller o8.5 Pts,SBK5065,-120,0.5,0.9166666666666669,Charlotte Hornets,B.Miller,Atlanta Hawks,1,0.4166666666666667,Y,1.0,1,1.0,1,1.0,1
8,C.Capela o10.5 Rebs,OldManWhoBets,100,0.5,1.0,Atlanta Hawks,C.Capela,Charlotte Hornets,0,0.5,Y,1.0,1,1.0,1,1.0,1
9,C.Capela o9.5 Pts,OldManWhoBets,-118,0.42,0.7759322033898305,Atlanta Hawks,C.Capela,Charlotte Hornets,0,0.3559322033898305,Y,1.0,1,1.0,1,1.0,1
10,L.Ball u39.5 Pts+Rebs+Ast,JoeDellera,-120,0.83,1.5216666666666667,Charlotte Hornets,L.Ball,Atlanta Hawks,1,0.6916666666666668,Y,1.0,1,1.0,1,1.0,1
11,L.Ball u39.5 Pts+Rebs+Ast,SBK5065,-120,0.5,0.9166666666666669,Charlotte Hornets,L.Ball,Atlanta Hawks,1,0.4166666666666667,Y,1.0,1,1.0,1,1.0,1
12,O.Okongwu o9.5 Pts,charliedisturco,140,0.5,1.2,Atlanta Hawks,O.Okongwu,Charlotte Hornets,0,0.7,N,0.0,0,0.0,0,0.0,0
