,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,J.Holiday o6.5 Rebs,Noto,110,1.1,2.3100000000000005,Boston Celtics,J.Holiday,Milwaukee Bucks,1,1.2100000000000004,Y,0.5714285714285714,1,0.6,1,0.6,1
1,1,G.Antetokounmpo o4.5 Ast,JoeDellera,-136,0.18,0.3123529411764706,Milwaukee Bucks,G.Antetokounmpo,Boston Celtics,0,0.1323529411764706,Y,0.4615384615384615,0,0.8,1,0.6,1
2,2,D.White o19.5 Pts+Rebs+Ast,kylemurray03,-115,0.87,1.6265217391304347,Boston Celtics,D.White,Milwaukee Bucks,1,0.7565217391304347,Y,0.6363636363636364,1,0.4,0,0.6,1
3,3,G.Antetokounmpo o6.5 Ast,cowhitchurch,300,0.25,1.0,Milwaukee Bucks,G.Antetokounmpo,Boston Celtics,0,0.75,N,0.3076923076923077,0,0.8,1,0.4,0
4,4,G.Antetokounmpo o5.5 Ast,cowhitchurch,155,0.5,1.275,Milwaukee Bucks,G.Antetokounmpo,Boston Celtics,0,0.7749999999999999,N,0.3846153846153846,0,0.8,1,0.5,0
5,5,G.Antetokounmpo o4.5 Ast,cowhitchurch,-125,1.0,1.8,Milwaukee Bucks,G.Antetokounmpo,Boston Celtics,0,0.8,Y,0.4615384615384615,0,0.8,1,0.6,1
6,6,M.Conley u4.5 Ast,Noto,105,1.0,2.05,Minnesota Timberwolves,M.Conley,Philadelphia 76ers,1,1.0499999999999998,N,0.3846153846153846,0,0.2,0,0.3,0
7,7,T.Harris o3.5 Ast,SBK5065,210,0.15,0.4649999999999999,Philadelphia 76ers,T.Harris,Minnesota Timberwolves,0,0.3149999999999999,N,0.2142857142857142,0,0.2,0,0.3,0
8,8,T.Harris o2.5 Ast,SBK5065,-110,1.0,1.9090909090909087,Philadelphia 76ers,T.Harris,Minnesota Timberwolves,0,0.9090909090909092,N,0.5,0,0.6,1,0.6,1
9,9,R.Gobert o10.5 Rebs,SBK5065,-128,0.39,0.6946875,Minnesota Timberwolves,R.Gobert,Philadelphia 76ers,1,0.3046875,Y,0.6153846153846154,1,0.4,0,0.5,0
