,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,0,D.Fox o34.5 Pts+Ast,the_degenerates,-105,1.0,1.9523809523809523,Sacramento Kings,D.Fox,Golden State Warriors,1,0.9523809523809524,Y,0.5,0.0,0.6,1.0,0.5,0.0
1,1,1,D.Green o5.5 Rebs,kylemurray03,-135,0.74,1.288148148148148,Golden State Warriors,D.Green,Sacramento Kings,0,0.548148148148148,Y,0.3333333333333333,0.0,0.4,0.0,0.3333333333333333,0.0
2,2,2,D.Green o11.5 Rebs+Ast,kylemurray03,-115,1.0,1.869565217391304,Golden State Warriors,D.Green,Sacramento Kings,0,0.8695652173913042,N,0.3333333333333333,0.0,0.4,0.0,0.3333333333333333,0.0
3,3,3,K.Looney o11.5 Rebs+Ast,GreenDotDaily,-135,1.0,1.7407407407407407,Golden State Warriors,K.Looney,Sacramento Kings,0,0.7407407407407407,N,0.6470588235294118,1.0,0.6,1.0,0.6,1.0
4,4,4,D.Fox o27.5 Pts,JoeDellera,-115,0.87,1.6265217391304347,Sacramento Kings,D.Fox,Golden State Warriors,1,0.7565217391304347,Y,0.7,1.0,0.6,1.0,0.7,1.0
5,5,5,K.Looney o11.5 Rebs+Ast,JoeDellera,-110,0.5,0.9545454545454546,Golden State Warriors,K.Looney,Sacramento Kings,0,0.4545454545454546,N,0.6470588235294118,1.0,0.6,1.0,0.6,1.0
6,6,6,K.Looney o14.5 Rebs,JoeDellera,825,0.2,1.85,Golden State Warriors,K.Looney,Sacramento Kings,0,1.65,N,0.0588235294117647,0.0,0.2,0.0,0.1,0.0
7,7,7,K.Looney o16.5 Rebs,JoeDellera,1500,0.1,1.6,Golden State Warriors,K.Looney,Sacramento Kings,0,1.5,N,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,K.Looney o19.5 Rebs,JoeDellera,2500,0.1,2.6,Golden State Warriors,K.Looney,Sacramento Kings,0,2.5,N,0.0,0.0,0.0,0.0,0.0,0.0
9,9,9,D.Fox o27.5 Pts,PropBetGuy,-113,1.2,2.261946902654868,Sacramento Kings,D.Fox,Golden State Warriors,1,1.0619469026548674,Y,0.7,1.0,0.6,1.0,0.7,1.0
10,10,10,K.Love o9.5 Rebs,SBK5065,425,0.43,2.2575,Miami Heat,K.Love,Milwaukee Bucks,1,1.8275,Y,0.1818181818181818,0.0,0.2,0.0,0.1,0.0
11,11,11,K.Love o6.5 Rebs,SBK5065,-125,0.8,1.4400000000000002,Miami Heat,K.Love,Milwaukee Bucks,1,0.6400000000000001,Y,0.4545454545454545,0.0,0.6,1.0,0.4,0.0
12,12,12,G.Antetokounmpo o30.5 Pts,Bettingyoda,-120,0.83,1.5216666666666667,Milwaukee Bucks,G.Antetokounmpo,Miami Heat,0,0.6916666666666668,Y,0.5625,1.0,0.8,1.0,0.7,1.0
13,13,13,G.Antetokounmpo o47.5 Pts+Rebs+Ast,Bettingyoda,-115,0.87,1.6265217391304347,Milwaukee Bucks,G.Antetokounmpo,Miami Heat,0,0.7565217391304347,Y,0.4375,0.0,0.6,1.0,0.6,1.0
14,14,14,G.Antetokounmpo u30.5 Pts,GreenDotDaily,-110,1.0,1.9090909090909087,Milwaukee Bucks,G.Antetokounmpo,Miami Heat,0,0.9090909090909092,N,0.4375,0.0,0.2,0.0,0.3,0.0
15,15,15,D.Lillard o37.5 Pts+Rebs+Ast,JoeMetz,-104,1.0,1.9615384615384617,Milwaukee Bucks,D.Lillard,Miami Heat,0,0.9615384615384616,Y,0.4666666666666667,0.0,0.6,1.0,0.5,0.0
16,16,16,B.Lopez o1.5 Blk,SBK5065,-145,0.73,1.233448275862069,Milwaukee Bucks,B.Lopez,Miami Heat,0,0.5034482758620691,N,0.6470588235294118,1.0,0.8,1.0,0.9,1.0
17,17,17,K.Irving u31.5 Pts+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Dallas Mavericks,K.Irving,Houston Rockets,1,0.9999999999999996,N,0.8461538461538461,1.0,0.8,1.0,0.8,1.0
18,18,18,A.Sengun o36.5 Pts+Rebs+Ast,the_degenerates,-110,1.0,1.9090909090909087,Houston Rockets,A.Sengun,Dallas Mavericks,0,0.9090909090909092,Y,0.3571428571428571,0.0,0.6,1.0,0.4,0.0
19,19,19,A.Sengun o36.5 Pts+Rebs+Ast,kylemurray03,-115,0.87,1.6265217391304347,Houston Rockets,A.Sengun,Dallas Mavericks,0,0.7565217391304347,Y,0.3571428571428571,0.0,0.6,1.0,0.4,0.0
20,20,20,J.Tatum o31.5 Pts+Ast,SBK5065,-120,0.6,1.1,Boston Celtics,J.Tatum,Chicago Bulls,1,0.5000000000000001,N,0.5294117647058824,1.0,0.4,0.0,0.4,0.0
21,21,21,J.Tatum o37.5 Pts+Rebs,GreenDotDaily,-160,1.0,1.625,Boston Celtics,J.Tatum,Chicago Bulls,1,0.625,N,0.4117647058823529,0.0,0.4,0.0,0.3,0.0
22,22,22,J.Brown o2.5 Ast,Noto,-145,1.0,1.6896551724137931,Boston Celtics,J.Brown,Chicago Bulls,1,0.6896551724137931,Y,0.625,1.0,0.8,1.0,0.7,1.0
23,23,23,J.Tatum o37.5 Pts+Rebs,JoeDellera,-115,1.0,1.869565217391304,Boston Celtics,J.Tatum,Chicago Bulls,1,0.8695652173913042,N,0.4117647058823529,0.0,0.4,0.0,0.3,0.0
24,24,24,J.Tatum o32.5 Pts+Ast,SBK5065,-115,0.81,1.5143478260869565,Boston Celtics,J.Tatum,Chicago Bulls,1,0.7043478260869565,N,0.5294117647058824,1.0,0.4,0.0,0.4,0.0
25,25,25,B.Miller o19.5 Pts,JoeDellera,430,0.25,1.325,Charlotte Hornets,B.Miller,New York Knicks,0,1.075,N,0.2142857142857142,0.0,0.4,0.0,0.2,0.0
26,26,26,M.Williams u10.5 Pts,JoeMetz,106,1.0,2.06,Charlotte Hornets,M.Williams,New York Knicks,0,1.06,N,0.2666666666666666,0.0,0.2,0.0,0.2,0.0
27,27,27,M.Williams o8.5 Rebs,kylemurray03,-110,0.91,1.7372727272727273,Charlotte Hornets,M.Williams,New York Knicks,0,0.8272727272727273,Y,0.4,0.0,0.6,1.0,0.5,0.0
28,28,28,M.Robinson o10.5 Rebs,JoeMetz,-118,1.18,2.18,New York Knicks,M.Robinson,Charlotte Hornets,1,0.9999999999999998,N,0.625,1.0,0.6,1.0,0.6,1.0
29,29,29,M.Williams o8.5 Rebs,Noto,-112,1.0,1.8928571428571428,Charlotte Hornets,M.Williams,New York Knicks,0,0.8928571428571428,Y,0.4,0.0,0.6,1.0,0.5,0.0
30,30,30,R.Barrett o17.5 Pts,SportsBookBreakers,-130,1.5,2.6538461538461537,New York Knicks,R.Barrett,Charlotte Hornets,1,1.1538461538461535,N,0.6363636363636364,1.0,0.4,0.0,0.6,1.0
31,31,31,M.Williams u20.5 Pts+Rebs,PropBetGuy,-120,1.2,2.2,Charlotte Hornets,M.Williams,New York Knicks,0,1.0000000000000002,N,0.4,0.0,0.4,0.0,0.4,0.0
32,32,32,E.Mobley o26.5 Pts+Rebs,the_degenerates,-102,1.0,1.9803921568627447,Cleveland Cavaliers,E.Mobley,Atlanta Hawks,1,0.9803921568627452,Y,0.4705882352941176,0.0,0.2,0.0,0.5,0.0
33,33,33,D.Garland o6.5 Ast,kylemurray03,-105,0.95,1.8547619047619048,Cleveland Cavaliers,D.Garland,Atlanta Hawks,1,0.9047619047619048,Y,0.3333333333333333,0.0,0.4,0.0,0.4,0.0
34,34,34,S.Bey o5.5 Rebs,SBK5065,-120,0.6,1.1,Atlanta Hawks,S.Bey,Cleveland Cavaliers,0,0.5000000000000001,N,0.5625,1.0,0.8,1.0,0.6,1.0
35,35,35,S.Barnes o21.5 Pts+Ast,kylemurray03,-122,0.82,1.4921311475409835,Toronto Raptors,S.Barnes,Brooklyn Nets,0,0.6721311475409836,Y,0.6470588235294118,1.0,0.4,0.0,0.4,0.0
36,36,36,R.Gobert o11.5 Rebs,GreenDotDaily,100,1.0,2.0,Minnesota Timberwolves,R.Gobert,Oklahoma City Thunder,1,1.0,Y,0.4375,0.0,0.0,0.0,0.2,0.0
37,37,37,R.Gobert o11.5 Rebs,SBK5065,-120,0.5,0.9166666666666669,Minnesota Timberwolves,R.Gobert,Oklahoma City Thunder,1,0.4166666666666667,Y,0.4375,0.0,0.0,0.0,0.2,0.0
