Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,T.Maledon u3.5 Ast,SBK5065,-130,1.0,T.Maledon,Charlotte Hornets,Washington Wizards,0.0,1.7692307692307692,0.7692307692307692,0.7142857142857143,1,0.8,1,0.7142857142857143,1
10,J.Embiid o4.5 Ast,Noto,-129,1.29,J.Embiid,Philadelphia 76ers,Detroit Pistons,0.0,2.29,1.0,0.7142857142857143,1,0.6,1,0.7142857142857143,1
11,J.Duren o1.5 Ast,SBK5065,-130,0.77,J.Duren,Detroit Pistons,Philadelphia 76ers,1.0,1.3623076923076922,0.5923076923076922,0.7142857142857143,1,0.6,1,0.7142857142857143,1
15,Z.Collins o3.5 Ast,Noto,-101,1.0,Z.Collins,San Antonio Spurs,Minnesota Timberwolves,1.0,1.99009900990099,0.99009900990099,0.625,1,0.6,1,0.625,1
21,K.Irving o6.5 Ast,Noto,109,1.0,K.Irving,Dallas Mavericks,Los Angeles Clippers,1.0,2.09,1.09,0.5,0,0.6,1,0.5,0
20,K.Leonard u26.5 Pts+Ast,PropBetGuy,-120,1.2,K.Leonard,Los Angeles Clippers,Dallas Mavericks,0.0,2.2,1.0000000000000002,0.5714285714285714,1,0.8,1,0.5714285714285714,1
4,A.Thompson o20.5 Pts+Rebs,PropBetGuy,-115,1.0,A.Thompson,Detroit Pistons,Philadelphia 76ers,1.0,1.869565217391304,0.8695652173913042,0.7777777777777778,1,1.0,1,0.7777777777777778,1
0,P.Washington o21.5 Pts+Rebs,SBK5065,-115,0.8,P.Washington,Charlotte Hornets,Washington Wizards,0.0,1.4956521739130435,0.6956521739130435,0.5714285714285714,1,0.6,1,0.5714285714285714,1
1,M.Williams o22.5 Pts+Rebs,the_degenerates,-125,1.0,M.Williams,Charlotte Hornets,Washington Wizards,0.0,1.8,0.8,0.5714285714285714,1,0.6,1,0.5714285714285714,1
16,K.Johnson u18.5 Pts,cowhitchurch,-121,0.5,K.Johnson,San Antonio Spurs,Minnesota Timberwolves,1.0,0.9132231404958676,0.4132231404958677,0.625,1,0.6,1,0.625,1
19,D.Jones o6.5 Pts,SBK5065,-130,0.5,D.Jones,Dallas Mavericks,Los Angeles Clippers,1.0,0.8846153846153846,0.3846153846153846,0.5,0,0.6,1,0.5,0
26,L.Walker o12.5 Pts,SBK5065,-115,0.87,L.Walker,Brooklyn Nets,Boston Celtics,0.0,1.6265217391304347,0.7565217391304347,0.8571428571428571,1,0.8,1,0.8571428571428571,1
10,J.Brown o21.5 Pts,SportsBookBreakers,-127,1.02,J.Brown,Boston Celtics,Brooklyn Nets,1.0,1.8231496062992123,0.8031496062992125,0.5714285714285714,1,0.6,1,0.5714285714285714,1
6,A.Thompson o7.5 Rebs,PropBomb,-115,1.0,A.Thompson,Detroit Pistons,Philadelphia 76ers,1.0,1.869565217391304,0.8695652173913042,0.5555555555555556,1,0.4,0,0.5555555555555556,1
7,A.Thompson o7.5 Rebs,SBK5065,-115,0.5,A.Thompson,Detroit Pistons,Philadelphia 76ers,1.0,0.934782608695652,0.4347826086956521,0.5555555555555556,1,0.4,0,0.5555555555555556,1
8,A.Thompson o7.5 Rebs,Noto,-119,1.0,A.Thompson,Detroit Pistons,Philadelphia 76ers,1.0,1.8403361344537816,0.8403361344537816,0.5555555555555556,1,0.4,0,0.5555555555555556,1
9,T.Harris o5.5 Rebs,Noto,-145,1.45,T.Harris,Philadelphia 76ers,Detroit Pistons,0.0,2.45,1.0000000000000002,0.5714285714285714,1,0.6,1,0.5714285714285714,1
17,R.Gobert o11.5 Rebs,JoeDellera,-135,1.35,R.Gobert,Minnesota Timberwolves,San Antonio Spurs,0.0,2.35,1.0,0.8571428571428571,1,0.8,1,0.8571428571428571,1
5,K.Towns o8.5 Rebs,Noto,105,1.05,K.Towns,Minnesota Timberwolves,San Antonio Spurs,0.0,2.1525,1.1024999999999998,0.5714285714285714,1,0.4,0,0.5714285714285714,1
9,J.Collins o8.5 Rebs,cowhitchurch,105,0.5,J.Collins,Utah Jazz,Memphis Grizzlies,0.0,1.025,0.5249999999999999,0.6666666666666666,1,0.4,0,0.6666666666666666,1
