,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,D.Fox o26.5 Pts,PropBetGuy,-115,1.0,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,1.869565217391304,0.8695652173913042,0.75,1,0.75,1,0.75,1
1,D.Fox o25.5 Pts,GreenDotDaily,-120,0.83,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,1.5216666666666667,0.6916666666666668,0.75,1,0.75,1,0.75,1
3,D.Fox o26.5 Pts,cowhitchurch,-120,0.5,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,0.9166666666666669,0.4166666666666667,0.75,1,0.75,1,0.75,1
4,D.Fox o26.5 Pts,TheBMatt,-115,0.65,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,1.2152173913043478,0.5652173913043478,0.75,1,0.75,1,0.75,1
5,D.Fox o25.5 Pts,JoeDellera,-105,1.0,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,1.9523809523809523,0.9523809523809524,0.75,1,0.75,1,0.75,1
18,D.Wade u6.5 Pts,SBK5065,-128,0.5,D.Wade,Cleveland Cavaliers,Portland Trail Blazers,0.0,0.890625,0.390625,0.7777777777777778,1,0.8,1,0.7777777777777778,1
26,J.Randle o22.5 Pts,OldManWhoBets,-120,0.42,J.Randle,New York Knicks,Atlanta Hawks,0.0,0.77,0.35,0.4,0,0.8,1,0.4,0
7,D.Lively o9.5 Pts,the_degenerates,-107,1.0,D.Lively,Dallas Mavericks,Washington Wizards,0.0,1.9345794392523368,0.9345794392523366,0.4,0,0.6,1,0.4,0
9,D.Gafford o9.5 Pts,OldManWhoBets,-118,0.42,D.Gafford,Washington Wizards,Dallas Mavericks,1.0,0.7759322033898305,0.3559322033898305,0.5,0,0.6,1,0.5,0
11,D.Lively o9.5 Pts,OldManWhoBets,-106,0.47,D.Lively,Dallas Mavericks,Washington Wizards,0.0,0.9133962264150944,0.4433962264150943,0.4,0,0.6,1,0.4,0
28,Q.Grimes o9.5 Pts,JoeDellera,140,0.7,Q.Grimes,New York Knicks,Atlanta Hawks,0.0,1.68,0.98,0.3,0,0.4,0,0.3,0
