,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,0,D.Fox o26.5 Pts,PropBetGuy,-115,1.0,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,1.869565217391304,0.8695652173913042,0.75,1,0.75,1,0.75,1,Y
1,1,1,1,1,D.Fox o25.5 Pts,GreenDotDaily,-120,0.83,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,1.5216666666666667,0.6916666666666668,0.75,1,0.75,1,0.75,1,Y
2,3,3,3,3,D.Fox o26.5 Pts,cowhitchurch,-120,0.5,D.Fox,Sacramento Kings,Los Angeles Lakers,0.0,0.9166666666666669,0.4166666666666667,0.75,1,0.75,1,0.75,1,Y
3,7,7,7,8,D.Lively o9.5 Pts,the_degenerates,-107,1.0,D.Lively,Dallas Mavericks,Washington Wizards,0.0,1.9345794392523368,0.9345794392523366,0.4,0,0.6,1,0.4,0,Y
4,8,8,8,9,K.Kuzma o24.5 Pts,OldManWhoBets,-102,0.5,K.Kuzma,Washington Wizards,Dallas Mavericks,1.0,0.9901960784313726,0.4901960784313726,0.5,0,0.6,1,0.5,0,N
5,9,9,9,10,D.Gafford o9.5 Pts,OldManWhoBets,-118,0.42,D.Gafford,Washington Wizards,Dallas Mavericks,1.0,0.7759322033898305,0.3559322033898305,0.5,0,0.6,1,0.5,0,Y
6,10,10,10,11,D.Gafford o6.5 Rebs,OldManWhoBets,-138,0.36,D.Gafford,Washington Wizards,Dallas Mavericks,1.0,0.6208695652173913,0.2608695652173913,0.5,0,0.6,1,0.5,0,Y
7,12,12,12,13,J.Poole o19.5 Pts+Rebs,SBK5065,-125,0.5,J.Poole,Washington Wizards,Dallas Mavericks,1.0,0.9,0.4,0.4,0,0.2,0,0.4,0,Y
8,13,13,13,14,D.Lively o6.5 Rebs,Noto,-133,1.5,D.Lively,Dallas Mavericks,Washington Wizards,0.0,2.6278195488721803,1.1278195488721805,0.4,0,0.4,0,0.4,0,Y
9,14,14,14,15,L.Doncic o28.5 Pts,JoeDellera,-125,1.25,L.Doncic,Dallas Mavericks,Washington Wizards,0.0,2.25,1.0,0.7272727272727273,1,0.8,1,0.7,1,N
10,16,16,16,17,P.Beverley o4.5 Rebs,SBK5065,450,0.15,P.Beverley,Philadelphia 76ers,Boston Celtics,1.0,0.825,0.6749999999999999,0.4,0,0.4,0,0.4,0,N
11,18,18,18,22,D.Wade u6.5 Pts,SBK5065,-128,0.5,D.Wade,Cleveland Cavaliers,Portland Trail Blazers,0.0,0.890625,0.390625,0.7777777777777778,1,0.8,1,0.7777777777777778,1,Y
12,19,19,19,23,D.Mitchell o29.5 Pts,SportsBookBreakers,-125,0.8,D.Mitchell,Cleveland Cavaliers,Portland Trail Blazers,0.0,1.4400000000000002,0.6400000000000001,0.4444444444444444,0,0.4,0,0.4444444444444444,0,Y
13,21,21,21,25,J.Nurkic o5.5 Ast,SBK5065,475,0.1,J.Nurkic,Phoenix Suns,Minnesota Timberwolves,1.0,0.5750000000000001,0.4750000000000001,0.4,0,0.6,1,0.4,0,N
14,22,22,22,26,J.Nurkic o4.5 Ast,SBK5065,330,0.15,J.Nurkic,Phoenix Suns,Minnesota Timberwolves,1.0,0.6449999999999999,0.4949999999999999,0.5,0,0.8,1,0.5,0,N
15,23,23,23,27,K.Towns o8.5 Rebs,OldManWhoBets,104,0.5,K.Towns,Minnesota Timberwolves,Phoenix Suns,0.0,1.02,0.52,0.7,1,0.8,1,0.7,1,N
16,29,29,29,34,D.Schroder o14.5 Pts,SBK5065,-118,0.59,D.Schroder,Toronto Raptors,Milwaukee Bucks,1.0,1.09,0.4999999999999999,0.5,0,0.4,0,0.5,0,N
17,30,30,30,35,D.Schroder o14.5 Pts,JoeDellera,-118,1.0,D.Schroder,Toronto Raptors,Milwaukee Bucks,1.0,1.847457627118644,0.847457627118644,0.5,0,0.4,0,0.5,0,N
18,31,31,31,36,D.Schroder o14.5 Pts,GreenDotDaily,-140,1.0,D.Schroder,Toronto Raptors,Milwaukee Bucks,1.0,1.7142857142857144,0.7142857142857144,0.5,0,0.4,0,0.5,0,N
