,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,L.Walker o9.5 Pts,GarageGuyChase,-118,1.0,L.Walker,Brooklyn Nets,Miami Heat,0,1.847457627118644,0.847457627118644,0.9,1,0.8,1,0.9,1,Y
1,1,1,1,J.Jaquez o8.5 Pts,the_degenerates,-120,1.0,J.Jaquez,Miami Heat,Brooklyn Nets,1,1.8333333333333333,0.8333333333333335,0.5454545454545454,1,1.0,1,0.6,1,Y
2,2,2,2,M.Bridges o23.5 Pts,the_degenerates,-104,1.04,M.Bridges,Brooklyn Nets,Miami Heat,0,2.04,1.0,0.2727272727272727,0,0.4,0,0.3,0,N
3,3,3,3,D.Robinson u15.5 Pts,SBK5065,-125,0.63,D.Robinson,Miami Heat,Brooklyn Nets,1,1.134,0.5040000000000001,0.7272727272727273,1,0.6,1,0.7,1,N
4,4,4,4,L.Walker o9.5 Pts,cowhitchurch,-115,0.5,L.Walker,Brooklyn Nets,Miami Heat,0,0.934782608695652,0.4347826086956521,0.9,1,0.8,1,0.9,1,Y
5,5,5,5,J.Jaquez o8.5 Pts,cowhitchurch,-140,0.5,J.Jaquez,Miami Heat,Brooklyn Nets,1,0.8571428571428572,0.3571428571428572,0.5454545454545454,1,1.0,1,0.6,1,Y
6,7,7,7,L.Walker o9.5 Pts,TheBMatt,-120,0.5,L.Walker,Brooklyn Nets,Miami Heat,0,0.9166666666666669,0.4166666666666667,0.9,1,0.8,1,0.9,1,Y
7,8,8,8,J.Jaquez o9.5 Pts,TheBMatt,-120,0.5,J.Jaquez,Miami Heat,Brooklyn Nets,1,0.9166666666666669,0.4166666666666667,0.3636363636363636,0,0.8,1,0.4,0,Y
8,9,9,9,J.Butler u23.5 Pts,PropBomb,-119,1.19,J.Butler,Miami Heat,Brooklyn Nets,1,2.19,1.0,0.7777777777777778,1,0.6,1,0.7777777777777778,1,N
9,10,10,10,J.Butler u5.5 Ast,SBK5065,-140,0.5,J.Butler,Miami Heat,Brooklyn Nets,1,0.8571428571428572,0.3571428571428572,0.8888888888888888,1,0.8,1,0.8888888888888888,1,Y
10,11,11,11,C.Johnson o4.5 Rebs,Noto,-140,1.4,C.Johnson,Brooklyn Nets,Miami Heat,0,2.4,1.0,1.0,1,1.0,1,1.0,1,N
11,12,12,12,D.Smith u3.5 Ast,Noto,115,1.0,D.Smith,Miami Heat,Brooklyn Nets,1,2.15,1.15,0.8571428571428571,1,0.8,1,0.8571428571428571,1,X
12,13,13,13,J.Jaquez o8.5 Pts,SBK5065,-120,0.5,J.Jaquez,Miami Heat,Brooklyn Nets,1,0.9166666666666669,0.4166666666666667,0.5454545454545454,1,1.0,1,0.6,1,Y
13,15,15,15,L.Walker o9.5 Pts,SBK5065,-115,0.87,L.Walker,Brooklyn Nets,Miami Heat,0,1.6265217391304347,0.7565217391304347,0.9,1,0.8,1,0.9,1,Y
14,17,17,18,D.Robinson o15.5 Pts,cowhitchurch,-105,0.5,D.Robinson,Miami Heat,Brooklyn Nets,1,0.9761904761904762,0.4761904761904761,0.2727272727272727,0,0.4,0,0.3,0,Y
15,18,18,19,A.Wiggins o4.5 Rebs,SportsBookBreakers,-132,0.76,A.Wiggins,Golden State Warriors,Oklahoma City Thunder,1,1.3357575757575757,0.5757575757575757,0.5833333333333334,1,0.8,1,0.6,1,Y
16,19,19,20,C.Paul o9.5 Ast,Noto,-130,1.3,C.Paul,Golden State Warriors,Oklahoma City Thunder,1,2.3,0.9999999999999998,0.1666666666666666,0,0.0,0,0.1,0,N
17,20,20,21,C.Paul o14.5 Pts,cowhitchurch,100,0.5,C.Paul,Golden State Warriors,Oklahoma City Thunder,1,1.0,0.5,0.1666666666666666,0,0.4,0,0.2,0,Y
