,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,S.Curry u28.5 Pts,PropBetGuy,-105,1.05,S.Curry,Golden State Warriors,Denver Nuggets,0,2.05,0.9999999999999998,0.4814814814814814,0,0.4,0,0.5,0,Y
1,1,B.Podziemski o5.5 Rebs,kylemurray03,-120,1.0,B.Podziemski,Golden State Warriors,Denver Nuggets,0,1.8333333333333333,0.8333333333333335,0.4347826086956521,0,0.4,0,0.6,1,Y
2,5,J.Tatum u29.5 Pts,SBK5065,-120,0.6,J.Tatum,Boston Celtics,Los Angeles Lakers,0,1.1,0.5000000000000001,0.5925925925925926,1,0.6,1,0.7,1,Y
3,6,A.Reaves o14.5 Pts,SportsBookBreakers,-125,1.25,A.Reaves,Los Angeles Lakers,Boston Celtics,1,2.25,1.0,0.6451612903225806,1,0.8,1,0.9,1,N
4,7,K.Durant o36.5 Pts+Ast,kylemurray03,-120,1.0,K.Durant,Phoenix Suns,Dallas Mavericks,1,1.8333333333333333,0.8333333333333335,0.375,0,0.2,0,0.2,0,N
5,8,K.Middleton o15.5 Pts,PropBomb,-125,1.25,K.Middleton,Milwaukee Bucks,New York Knicks,0,2.25,1.0,0.2916666666666667,0,0.6,1,0.4,0,Y
6,9,D.Lillard o25.5 Pts,GarageGuyChase,-105,1.05,D.Lillard,Milwaukee Bucks,New York Knicks,0,2.05,0.9999999999999998,0.5185185185185185,1,0.6,1,0.4,0,Y
7,10,B.Portis o7.5 Rebs,GarageGuyChase,-104,1.04,B.Portis,Milwaukee Bucks,New York Knicks,0,2.04,1.0,0.3793103448275862,0,0.8,1,0.5,0,Y
8,11,I.Hartenstein o9.5 Rebs,kylemurray03,-135,1.0,I.Hartenstein,New York Knicks,Milwaukee Bucks,1,1.7407407407407407,0.7407407407407407,0.1785714285714285,0,0.8,1,0.5,0,N
9,12,I.Hartenstein o9.5 Rebs,PropBetGuy,-120,1.2,I.Hartenstein,New York Knicks,Milwaukee Bucks,1,2.2,1.0000000000000002,0.1785714285714285,0,0.8,1,0.5,0,N
10,13,J.Brunson o26.5 Pts,JoeDellera,-115,0.58,J.Brunson,New York Knicks,Milwaukee Bucks,1,1.0843478260869563,0.5043478260869564,0.3214285714285714,0,0.6,1,0.3,0,Y
