,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Morant o29.5 Pts+Ast,theprophunter0_,-115,1.15,2.1499999999999995,Memphis Grizzlies,J.Morant,Houston Rockets,1,0.9999999999999996,N,0.5,0,0.5,0,0.5,0
1,S.Aldama o9.5 Pts,FirefighterBets,-105,1.0,1.9523809523809523,Memphis Grizzlies,S.Aldama,Houston Rockets,1,0.9523809523809524,N,0.5,0,0.5,0,0.5,0
2,J.Morant o6.5 Ast,FirefighterBets,-125,1.0,1.8,Memphis Grizzlies,J.Morant,Houston Rockets,1,0.8,N,0.5,0,0.5,0,0.5,0
3,J.Morant o29.5 Pts+Ast,Markus_Markets,-110,1.0,1.9090909090909087,Memphis Grizzlies,J.Morant,Houston Rockets,1,0.9090909090909092,N,0.5,0,0.5,0,0.5,0
4,S.Aldama o17.5 Pts+Rebs+Ast,gneiffer07,-120,1.2,2.2,Memphis Grizzlies,S.Aldama,Houston Rockets,1,1.0000000000000002,N,0.5,0,0.5,0,0.5,0
5,J.Green u8.5 Rebs+Ast,PropBetGuy,-128,1.28,2.28,Houston Rockets,J.Green,Memphis Grizzlies,0,1.0000000000000002,N,0.5,0,0.5,0,0.5,0
6,J.Morant o6.5 Ast,wheatonbrando,-120,1.0,1.8333333333333333,Memphis Grizzlies,J.Morant,Houston Rockets,1,0.8333333333333335,N,0.5,0,0.5,0,0.5,0
7,J.Morant o6.5 Ast,JoeDellera,-120,1.0,1.8333333333333333,Memphis Grizzlies,J.Morant,Houston Rockets,1,0.8333333333333335,N,0.5,0,0.5,0,0.5,0
8,Z.Edey o14.5 Pts+Rebs+Ast,kylemurray03,-105,1.0,1.9523809523809523,Memphis Grizzlies,Z.Edey,Houston Rockets,1,0.9523809523809524,Y,0.5,0,0.5,0,0.5,0
9,L.Ball o7.5 Ast,JBBets1,-150,1.0,1.6666666666666663,Charlotte Hornets,L.Ball,Atlanta Hawks,1,0.6666666666666665,N,0.5,0,0.5,0,0.5,0
10,O.Okongwu o11.5 Pts,theprophunter0_,-120,1.2,2.2,Atlanta Hawks,O.Okongwu,Charlotte Hornets,0,1.0000000000000002,N,0.5,0,0.5,0,0.5,0
11,L.Ball o7.5 Ast,theprophunter0_,-140,1.4,2.4,Charlotte Hornets,L.Ball,Atlanta Hawks,1,1.0,N,0.5,0,0.5,0,0.5,0
12,O.Okongwu o0.5 3pt M,GDAWG5000,210,1.05,3.2550000000000003,Atlanta Hawks,O.Okongwu,Charlotte Hornets,0,2.205,Y,0.5,0,0.5,0,0.5,0
13,T.Young o34.5 Pts,gamblersdream,750,5.25,44.625,Atlanta Hawks,T.Young,Charlotte Hornets,0,39.375,Y,0.5,0,0.5,0,0.5,0
14,O.Okongwu o18.5 Pts+Rebs,FirefighterBets,-125,1.0,1.8,Atlanta Hawks,O.Okongwu,Charlotte Hornets,0,0.8,N,0.5,0,0.5,0,0.5,0
15,T.Young o40.5 Pts+Rebs+Ast,cowhitchurch,136,0.68,1.6048000000000002,Atlanta Hawks,T.Young,Charlotte Hornets,0,0.9248000000000002,Y,1.0,1,1.0,1,1.0,1
16,J.Johnson o18.5 Pts,RoyalsProps,-115,1.15,2.1499999999999995,Atlanta Hawks,J.Johnson,Charlotte Hornets,0,0.9999999999999996,N,0.0,0,0.0,0,0.0,0
17,L.Ball o5.5 Rebs,kylemurray03,-105,1.05,2.05,Charlotte Hornets,L.Ball,Atlanta Hawks,1,0.9999999999999998,N,0.5,0,0.5,0,0.5,0
18,Z.Risacher o9.5 Pts,therocketplays,100,0.75,1.5,Atlanta Hawks,Z.Risacher,Charlotte Hornets,0,0.75,N,0.0,0,0.0,0,0.0,0
19,J.Johnson o17.5 Pts,Mjaybrxd,-120,1.0,1.8333333333333333,Atlanta Hawks,J.Johnson,Charlotte Hornets,0,0.8333333333333335,N,0.0,0,0.0,0,0.0,0
20,J.Brunson o28.5 Pts,JBBets1,-135,1.0,1.7407407407407407,New York Knicks,J.Brunson,Indiana Pacers,0,0.7407407407407407,N,0.0,0,0.0,0,0.0,0
21,J.Brunson o29.5 Pts,RoyalsProps,-108,1.08,2.08,New York Knicks,J.Brunson,Indiana Pacers,0,1.0,N,0.0,0,0.0,0,0.0,0
22,J.Brunson u7.5 Ast,cawright95,-135,1.0,1.7407407407407407,New York Knicks,J.Brunson,Indiana Pacers,0,0.7407407407407407,Y,1.0,1,1.0,1,1.0,1
23,M.Bridges u8.5 Rebs+Ast,ThePropfessor_,-145,1.0,1.6896551724137931,New York Knicks,M.Bridges,Indiana Pacers,0,0.6896551724137931,Y,1.0,1,1.0,1,1.0,1
