,Unnamed: 0,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct,Actual Value,Name
0,0,Y.Missi o12.5 Pts+Rebs+Ast,therocketplays,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-120,1.2,2.2,1.0000000000000002,N,10.0,Y.Missi
1,1,Y.Missi o1.5 Blk,kylemurray03,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-120,1.0,1.8333333333333333,0.8333333333333335,Y,2.0,Y.Missi
2,2,S.Henderson o14.5 Pts,TopShelfAction,Portland Trail Blazers,New Orleans Pelicans,1.0,1.0,1,1.0,1,1.0,1,140,0.5,1.2,0.7,N,9.0,S.Henderson
3,3,C.McCollum o5.5 Ast,TopShelfAction,New Orleans Pelicans,Portland Trail Blazers,0.0,0.0,0,0.0,0,0.0,0,145,0.5,1.225,0.7250000000000001,N,3.0,C.McCollum
4,4,Y.Missi o1.5 Blk,PropBomb,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-110,1.0,1.9090909090909087,0.9090909090909092,Y,2.0,Y.Missi
5,5,Y.Missi o12.5 Pts+Rebs+Ast,ThePropfessor_,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-115,1.15,2.1499999999999995,0.9999999999999996,N,10.0,Y.Missi
6,6,B.Ingram u19.5 Pts,Mjaybrxd,New Orleans Pelicans,Portland Trail Blazers,0.0,0.0,0,0.0,0,0.0,0,-105,0.95,1.8547619047619048,0.9047619047619048,Y,14.0,B.Ingram
7,7,Z.Williamson o23.5 Pts,RoyalsProps,New Orleans Pelicans,Portland Trail Blazers,0.0,0.0,0,0.0,0,0.0,0,-118,1.18,2.18,0.9999999999999998,N,14.0,Z.Williamson
8,8,Y.Missi o12.5 Pts+Rebs+Ast,JoeDellera,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-115,1.0,1.869565217391304,0.8695652173913042,N,10.0,Y.Missi
9,9,B.Ingram o30.5 Pts+Rebs+Ast,TopShelfAction,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-105,0.8,1.561904761904762,0.7619047619047619,N,28.0,B.Ingram
10,10,S.Henderson o4.5 Ast,TopShelfAction,Portland Trail Blazers,New Orleans Pelicans,1.0,0.5,0,0.5,0,0.5,0,-120,0.75,1.375,0.625,Y,7.0,S.Henderson
11,11,J.Hawkins o10.5 Pts,PropBetGuy,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-125,1.0,1.8,0.8,Y,17.0,J.Hawkins
12,12,S.Gilgeous-Alexander o29.5 Pts,itsbucketsnba,Oklahoma City Thunder,Atlanta Hawks,1.0,0.0,0,0.0,0,0.0,0,-112,0.89,1.684642857142857,0.7946428571428571,Y,35.0,S.Gilgeous-Alexander
13,13,D.Daniels o9.5 Pts,therocketplays,Atlanta Hawks,Oklahoma City Thunder,0.0,1.0,1,1.0,1,1.0,1,-115,1.15,2.1499999999999995,0.9999999999999996,N,7.0,D.Daniels
14,14,J.Williams o5.5 Ast,TopShelfAction,Oklahoma City Thunder,Atlanta Hawks,1.0,0.5,0,0.5,0,0.5,0,122,0.8,1.7759999999999998,0.9759999999999998,N,5.0,J.Williams
15,15,Z.Risacher o6.5 Pts,PropBomb,Atlanta Hawks,Oklahoma City Thunder,0.0,0.5,0,0.5,0,0.5,0,-130,1.0,1.7692307692307692,0.7692307692307692,Y,13.0,Z.Risacher
16,16,C.Capela o8.5 Pts,TopShelfAction,Atlanta Hawks,Oklahoma City Thunder,0.0,0.0,0,0.0,0,0.0,0,100,0.6,1.2,0.6,N,6.0,C.Capela
17,17,A.Wiggins o14.5 Pts,itsbucketsnba,Oklahoma City Thunder,Atlanta Hawks,1.0,0.5,0,0.5,0,0.5,0,-115,0.87,1.6265217391304347,0.7565217391304347,N,9.0,A.Wiggins
18,18,J.Harden o9.5 Ast,kylemurray03,Los Angeles Clippers,Golden State Warriors,0.0,0.5,0,0.5,0,0.5,0,-122,1.0,1.819672131147541,0.819672131147541,Y,11.0,J.Harden
19,19,D.Jones o8.5 Pts,TopShelfAction,Los Angeles Clippers,Golden State Warriors,0.0,1.0,1,1.0,1,1.0,1,100,0.5,1.0,0.5,Y,18.0,D.Jones
20,20,P.Siakam o20.5 Pts,RoyalsProps,Indiana Pacers,Philadelphia 76ers,1.0,0.0,0,0.0,0,0.0,0,-115,1.15,2.1499999999999995,0.9999999999999996,N,17.0,P.Siakam
21,21,M.Turner o15.5 Pts,JoeDellera,Indiana Pacers,Philadelphia 76ers,1.0,0.5,0,0.5,0,0.5,0,-113,1.0,1.8849557522123888,0.8849557522123894,N,14.0,M.Turner
22,22,T.Prince u8.5 Pts,itsbucketsnba,Milwaukee Bucks,Brooklyn Nets,0.0,0.0,0,0.0,0,0.0,0,-110,0.91,1.7372727272727273,0.8272727272727273,Y,3.0,T.Prince
23,23,C.Johnson o14.5 Pts,RoyalsProps,Brooklyn Nets,Milwaukee Bucks,1.0,0.0,0,0.0,0,0.0,0,-113,1.13,2.13,1.0,N,13.0,C.Johnson
24,24,C.Thomas o25.5 Pts,JoeDellera,Brooklyn Nets,Milwaukee Bucks,1.0,0.5,0,0.5,0,0.5,0,-110,0.91,1.7372727272727273,0.8272727272727273,Y,32.0,C.Thomas
