,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,S.Barnes u33.5 Pts+Rebs+Ast,CamIsMoney18,Toronto Raptors,Oklahoma City Thunder,0.0,0.5,0,0.8,1,0.5,0,-105,1.0,1.9523809523809523,0.9523809523809524,S.Barnes,Y,30.0
1,I.Quickley o20.5 Pts+Rebs+Ast,sandyplashkes,Toronto Raptors,Oklahoma City Thunder,0.0,0.4166666666666667,0,0.2,0,0.4,0,-125,1.25,2.25,1.0,I.Quickley,N,20.0
2,V.Wembanyama o25.5 Pts,sandyplashkes,San Antonio Spurs,Charlotte Hornets,0.0,0.4047619047619047,0,0.4,0,0.3,0,-112,1.12,2.12,1.0,V.Wembanyama,N,16.0
3,V.Wembanyama o25.5 Pts,therocketplays,San Antonio Spurs,Charlotte Hornets,0.0,0.4047619047619047,0,0.4,0,0.3,0,-105,1.05,2.05,0.9999999999999998,V.Wembanyama,N,16.0
4,D.Fox o6.5 Ast,Markus_Markets,San Antonio Spurs,Charlotte Hornets,0.0,1.0,1,1.0,1,1.0,1,-140,1.0,1.7142857142857144,0.7142857142857144,D.Fox,N,6.0
5,J.Embiid o27.5 Pts,JoeDellera,Philadelphia 76ers,Detroit Pistons,0.0,0.5714285714285714,1,1.0,1,0.7,1,-120,1.0,1.8333333333333333,0.8333333333333335,J.Embiid,N,23.0
6,J.Embiid o27.5 Pts,CamIsMoney18,Philadelphia 76ers,Detroit Pistons,0.0,0.5714285714285714,1,1.0,1,0.7,1,-120,1.0,1.8333333333333333,0.8333333333333335,J.Embiid,N,23.0
7,B.Coulibaly o21.5 Pts+Rebs+Ast,TheBMatt,Washington Wizards,Cleveland Cavaliers,1.0,0.4130434782608695,0,0.6,1,0.5,0,-127,1.27,2.27,1.0,B.Coulibaly,Y,26.0
8,V.Krejci o8.5 Pts,Markus_Markets,Atlanta Hawks,Milwaukee Bucks,1.0,0.3333333333333333,0,0.4,0,0.6,1,-115,1.0,1.869565217391304,0.8695652173913042,V.Krejci,Y,11.0
9,C.Johnson o17.5 Pts,RoyalsProps,Brooklyn Nets,Miami Heat,1.0,0.5277777777777778,1,0.4,0,0.6,1,-120,1.2,2.2,1.0000000000000002,C.Johnson,Y,18.0
