Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
T.Haliburton o12.5 Rebs+Ast,LinesAtLunch,Indiana Pacers,San Antonio Spurs,1.0,0.5238095238095238,1,0.4,0,0.6,1,-120,1.2,2.2,1.0000000000000002,T.Haliburton
T.Haliburton o12.5 Rebs+Ast,sandyplashkes,Indiana Pacers,San Antonio Spurs,1.0,0.5238095238095238,1,0.4,0,0.6,1,-120,1.2,2.2,1.0000000000000002,T.Haliburton
N.Jokic o21.5 Rebs+Ast,CamIsMoney18,Denver Nuggets,Sacramento Kings,1.0,0.6756756756756757,1,1.0,1,0.9,1,-120,1.0,1.8333333333333333,0.8333333333333335,N.Jokic
N.Jokic o21.5 Rebs+Ast,ThePropfessor_,Denver Nuggets,Sacramento Kings,1.0,0.6756756756756757,1,1.0,1,0.9,1,-115,1.15,2.1499999999999995,0.9999999999999996,N.Jokic
T.Haliburton o12.5 Rebs+Ast,rsura_,Indiana Pacers,San Antonio Spurs,1.0,0.5238095238095238,1,0.4,0,0.6,1,-132,1.32,2.3200000000000003,1.0000000000000002,T.Haliburton
N.Jokic o21.5 Rebs+Ast,therocketplays,Denver Nuggets,Sacramento Kings,1.0,0.6756756756756757,1,1.0,1,0.9,1,-130,1.3,2.3,0.9999999999999998,N.Jokic
N.Jokic o21.5 Rebs+Ast,the_degenerates,Denver Nuggets,Sacramento Kings,1.0,0.6756756756756757,1,1.0,1,0.9,1,-115,1.15,2.1499999999999995,0.9999999999999996,N.Jokic
K.Caldwell-Pope u4.5 Rebs+Ast,allanlemdfs,Orlando Magic,Portland Trail Blazers,1.0,0.6976744186046512,1,0.8,1,0.8,1,-137,0.69,1.1936496350364962,0.5036496350364963,K.Caldwell-Pope
K.Edwards u5.5 Rebs+Ast,allanlemdfs,Dallas Mavericks,Oklahoma City Thunder,0.0,1.0,1,1.0,1,1.0,1,-137,0.34,0.5881751824817518,0.2481751824817518,K.Edwards
A.Dosunmu o7.5 Rebs+Ast,Rotowire Sleeper,Chicago Bulls,Golden State Warriors,0.0,0.6060606060606061,1,0.6,1,0.7,1,100,1.5,3.0,1.5,A.Dosunmu
A.Horford o5.5 Rebs+Ast,Rotowire Sleeper,Boston Celtics,Los Angeles Lakers,0.0,0.8529411764705882,1,0.4,0,0.7,1,100,1.5,3.0,1.5,A.Horford
