Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
M.Bridges o18.5 Pts,ThePropfessor_,New York Knicks,Miami Heat,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-115,1.15,2.1499999999999995,0.9999999999999996,M.Bridges
J.Shead u9.5 Pts,gneiffer07,Toronto Raptors,Charlotte Hornets,0.0,0.5,0,0.5,0,0.5,0,-110,1.0,1.9090909090909087,0.9090909090909092,J.Shead
A.Davis o26.5 Pts,the_degenerates,Los Angeles Lakers,Cleveland Cavaliers,0.0,1.0,1,1.0,1,1.0,1,-113,1.13,2.13,1.0,A.Davis
R.Hachimura o13.5 Pts,therocketplays,Los Angeles Lakers,Cleveland Cavaliers,0.0,1.0,1,1.0,1,1.0,1,-125,1.25,2.25,1.0,R.Hachimura
L.James o23.5 Pts,shadybiev,Los Angeles Lakers,Cleveland Cavaliers,0.0,0.25,0,0.25,0,0.25,0,-108,1.5,2.8888888888888893,1.3888888888888893,L.James
L.James o22.5 Pts,PvB_Bets,Los Angeles Lakers,Cleveland Cavaliers,0.0,0.25,0,0.25,0,0.25,0,-115,0.87,1.6265217391304347,0.7565217391304347,L.James
Z.LaVine o20.5 Pts,CeeJPicks,Chicago Bulls,Orlando Magic,1.0,1.0,1,1.0,1,1.0,1,-118,1.18,2.18,0.9999999999999998,Z.LaVine
W.Carter o10.5 Pts,itsbucketsnba,Orlando Magic,Chicago Bulls,0.0,0.25,0,0.25,0,0.25,0,-130,0.77,1.3623076923076922,0.5923076923076922,W.Carter
P.Banchero u26.5 Pts,sandyplashkes,Orlando Magic,Chicago Bulls,0.0,0.5,0,0.5,0,0.5,0,-118,1.18,2.18,0.9999999999999998,P.Banchero
F.Wagner o21.5 Pts,Mjaybrxd,Orlando Magic,Chicago Bulls,0.0,0.75,1,0.75,1,0.75,1,-110,1.0,1.9090909090909087,0.9090909090909092,F.Wagner
F.Wagner o20.5 Pts,RoyalsProps,Orlando Magic,Chicago Bulls,0.0,0.75,1,0.75,1,0.75,1,-125,1.25,2.25,1.0,F.Wagner
F.Wagner o21.5 Pts,RoyalsProps,Orlando Magic,Chicago Bulls,0.0,0.75,1,0.75,1,0.75,1,-115,1.15,2.1499999999999995,0.9999999999999996,F.Wagner
P.Pritchard o10.5 Pts,the_degenerates,Boston Celtics,Indiana Pacers,0.0,0.75,1,0.75,1,0.75,1,-122,1.0,1.819672131147541,0.819672131147541,P.Pritchard
A.Nembhard u11.5 Pts,gneiffer07,Indiana Pacers,Boston Celtics,1.0,0.75,1,0.75,1,0.75,1,-110,1.0,1.9090909090909087,0.9090909090909092,A.Nembhard
K.Oubre o18.5 Pts,the_degenerates,Philadelphia 76ers,Detroit Pistons,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-129,1.29,2.29,1.0,K.Oubre
C.Cunningham u24.5 Pts,TopShelfAction,Detroit Pistons,Philadelphia 76ers,0.0,0.5,0,0.5,0,0.5,0,-118,0.42,0.7759322033898305,0.3559322033898305,C.Cunningham
M.Beasley o7.5 Pts,ThePropfessor_,Detroit Pistons,Philadelphia 76ers,0.0,0.75,1,0.75,1,0.75,1,-135,1.0,1.7407407407407407,0.7407407407407407,M.Beasley
C.Martin o11.5 Pts,PropBetGuy,Philadelphia 76ers,Detroit Pistons,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-113,1.13,2.13,1.0,C.Martin
