Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
J.Duren o18.5 Pts+Rebs,Rotowire Sleeper,Detroit Pistons,Miami Heat,1.0,0.5555555555555556,1,0.4,0,0.5555555555555556,1,100.0,1.5,3.0,1.5,J.Duren
T.Camara o12.5 Pts+Rebs,Rotowire Prizepicks,Portland Trail Blazers,Minnesota Timberwolves,1.0,0.7272727272727273,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,T.Camara
M.Bridges o17.5 Pts+Rebs,Rotowire Sleeper,New York Knicks,Philadelphia 76ers,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100.0,1.5,3.0,1.5,M.Bridges
D.Green o12.5 Pts+Rebs,Markus_Markets,Golden State Warriors,Dallas Mavericks,1.0,0.5,0,0.6,1,0.5,0,-125.0,1.0,1.8,0.8,D.Green
G.Antetokounmpo o44.5 Pts+Rebs,Rotowire Sleeper,Milwaukee Bucks,Toronto Raptors,1.0,0.5555555555555556,1,0.8,1,0.5555555555555556,1,100.0,1.5,3.0,1.5,G.Antetokounmpo
G.Antetokounmpo o44.5 Pts+Rebs,the_degenerates,Milwaukee Bucks,Toronto Raptors,1.0,0.5555555555555556,1,0.8,1,0.5555555555555556,1,-113.0,1.13,2.13,1.0,G.Antetokounmpo
D.White o21.5 Pts+Rebs,the_degenerates,Boston Celtics,Atlanta Hawks,1.0,0.6363636363636364,1,0.6,1,0.6,1,-121.0,1.21,2.21,1.0,D.White
D.Green o12.5 Pts+Rebs,Rotowire Sleeper,Golden State Warriors,Dallas Mavericks,1.0,0.5,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,D.Green
J.Poeltl o22.5 Pts+Rebs,Rotowire Sleeper,Toronto Raptors,Milwaukee Bucks,0.0,0.5454545454545454,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,J.Poeltl
R.Gobert o22.5 Pts+Rebs,Rotowire Prizepicks,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.5,0,0.4,0,0.5,0,100.0,1.5,3.0,1.5,R.Gobert
J.Johnson u40.5 Pts+Rebs+Ast,allanlemdfs,Atlanta Hawks,Boston Celtics,0.0,0.6363636363636364,1,0.6,1,0.6,1,-119.0,1.19,2.19,1.0,J.Johnson
R.Barrett o32.5 Pts+Rebs+Ast,sandyplashkes,Toronto Raptors,Milwaukee Bucks,0.0,0.375,0,0.2,0,0.375,0,-112.0,1.12,2.12,1.0,R.Barrett
D.Ayton o22.5 Pts+Rebs+Ast,Rotowire Sleeper,Portland Trail Blazers,Minnesota Timberwolves,1.0,0.7272727272727273,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,D.Ayton
J.Johnson u38.5 Pts+Rebs+Ast,Rotowire Prizepicks,Atlanta Hawks,Boston Celtics,0.0,0.6363636363636364,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Johnson
J.Johnson u37.5 Pts+Rebs+Ast,Rotowire Prizepicks,Atlanta Hawks,Boston Celtics,0.0,0.6363636363636364,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Johnson
F.Wagner u36.5 Pts+Rebs+Ast,Rotowire Prizepicks,Orlando Magic,Charlotte Hornets,1.0,0.7272727272727273,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,F.Wagner
S.Henderson u20.5 Pts+Rebs+Ast,gneiffer07,Portland Trail Blazers,Minnesota Timberwolves,1.0,0.4545454545454545,0,0.8,1,0.5,0,-110.0,1.1,2.1,1.0,S.Henderson
B.Miller u26.5 Pts+Rebs+Ast,gneiffer07,Charlotte Hornets,Orlando Magic,0.0,0.5,0,0.4,0,0.5,0,-115.0,1.15,2.1499999999999995,0.9999999999999996,B.Miller
D.Ayton o22.5 Pts+Rebs+Ast,Rotowire Prizepicks,Portland Trail Blazers,Minnesota Timberwolves,1.0,0.7272727272727273,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,D.Ayton
K.Love o11.5 Pts+Rebs+Ast,kylemurray03,Miami Heat,Detroit Pistons,0.0,1.0,1,1.0,1,1.0,1,-120.0,1.2,2.2,1.0000000000000002,K.Love
M.Bridges o21.5 Pts+Rebs+Ast,Rotowire Sleeper,New York Knicks,Philadelphia 76ers,0.0,0.5555555555555556,1,0.4,0,0.5555555555555556,1,100.0,1.5,3.0,1.5,M.Bridges
J.Brown o32.5 Pts+Rebs+Ast,RoyalsProps,Boston Celtics,Atlanta Hawks,1.0,0.7142857142857143,1,0.8,1,0.7142857142857143,1,-120.0,1.2,2.2,1.0000000000000002,J.Brown
B.Miller u20.5 Pts,sandyplashkes,Charlotte Hornets,Orlando Magic,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-122.0,1.22,2.22,1.0000000000000002,B.Miller
M.Bridges o13.5 Pts,RoyalsProps,New York Knicks,Philadelphia 76ers,0.0,0.7777777777777778,1,0.6,1,0.7777777777777778,1,-105.0,1.05,2.05,0.9999999999999998,M.Bridges
A.Edwards o26.5 Pts,Markus_Markets,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.6,1,0.4,0,0.6,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,A.Edwards
T.Rozier o14.5 Pts,MJCLocks,Miami Heat,Detroit Pistons,0.0,0.5555555555555556,1,0.2,0,0.5555555555555556,1,-125.0,1.25,2.25,1.0,T.Rozier
D.Booker u29.5 Pts,Rotowire Prizepicks,Phoenix Suns,Utah Jazz,0.0,0.8,1,1.0,1,0.8,1,100.0,1.5,3.0,1.5,D.Booker
M.Bridges o13.5 Pts,Rotowire Sleeper,New York Knicks,Philadelphia 76ers,0.0,0.7777777777777778,1,0.6,1,0.7777777777777778,1,100.0,1.5,3.0,1.5,M.Bridges
A.Edwards o26.5 Pts,therocketplays,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.6,1,0.4,0,0.6,1,-110.0,1.1,2.1,1.0,A.Edwards
A.Edwards o25.5 Pts,JoeDellera,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.6,1,0.4,0,0.6,1,-125.0,1.0,1.8,0.8,A.Edwards
A.Edwards o25.5 Pts,GDAWG5000,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.6,1,0.4,0,0.6,1,-120.0,0.6,1.1,0.5000000000000001,A.Edwards
D.White o15.5 Pts,Rotowire Prizepicks,Boston Celtics,Atlanta Hawks,1.0,0.7272727272727273,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,D.White
J.Randle o20.5 Pts,Rotowire Prizepicks,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.6,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Randle
J.Brunson o25.5 Pts,sandyplashkes,New York Knicks,Philadelphia 76ers,0.0,0.4444444444444444,0,0.6,1,0.4444444444444444,0,-114.0,1.14,2.14,0.9999999999999998,J.Brunson
B.Miller o19.5 Pts,FirefighterBets,Charlotte Hornets,Orlando Magic,0.0,0.3333333333333333,0,0.4,0,0.3333333333333333,0,-125.0,1.0,1.8,0.8,B.Miller
J.Brunson o24.5 Pts,gneiffer07,New York Knicks,Philadelphia 76ers,0.0,0.4444444444444444,0,0.6,1,0.4444444444444444,0,-110.0,1.1,2.1,1.0,J.Brunson
D.Green o6.5 Pts,Rotowire Sleeper,Golden State Warriors,Dallas Mavericks,1.0,0.6,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,D.Green
O.Anunoby o13.5 Pts,Rotowire Prizepicks,New York Knicks,Philadelphia 76ers,0.0,0.7777777777777778,1,1.0,1,0.7777777777777778,1,100.0,1.5,3.0,1.5,O.Anunoby
K.Lowry o10.5 Pts+Ast,Rotowire Prizepicks,Philadelphia 76ers,New York Knicks,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1,100.0,1.5,3.0,1.5,K.Lowry
J.Duren o10.5 Pts+Ast,Rotowire Sleeper,Detroit Pistons,Miami Heat,1.0,0.5555555555555556,1,0.4,0,0.5555555555555556,1,100.0,1.5,3.0,1.5,J.Duren
F.Wagner u30.5 Pts+Ast,Rotowire Prizepicks,Orlando Magic,Charlotte Hornets,1.0,0.7272727272727273,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,F.Wagner
J.Johnson u29.5 Pts+Ast,Rotowire Prizepicks,Atlanta Hawks,Boston Celtics,0.0,0.7272727272727273,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,J.Johnson
A.Horford o9.5 Pts+Ast,Rotowire Prizepicks,Boston Celtics,Atlanta Hawks,1.0,0.7,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,A.Horford
R.Gobert o12.5 Pts+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Portland Trail Blazers,0.0,0.4,0,0.2,0,0.4,0,100.0,1.5,3.0,1.5,R.Gobert
