Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
M.Bridges o6.5 Rebs,TopShelfAction_duplicate,Charlotte Hornets,Washington Wizards,0.0,0.6875,1,0.8,1,0.7,1,-115,0.4,0.7478260869565218,0.3478260869565217,M.Bridges
J.Williams o5.5 Rebs,TopShelfAction_duplicate,Oklahoma City Thunder,Indiana Pacers,0.0,0.5517241379310345,1,0.4,0,0.5,0,-104,1.2,2.353846153846154,1.153846153846154,J.Williams
S.Gilgeous-Alexander o5.5 Rebs,TopShelfAction,Oklahoma City Thunder,Indiana Pacers,0.0,0.5,0,0.8,1,0.7,1,100,0.8,1.6,0.8,S.Gilgeous-Alexander
B.Mathurin u5.5 Rebs,TopShelfAction,Indiana Pacers,Oklahoma City Thunder,1.0,0.4,0,0.4,0,0.5,0,110,0.7,1.47,0.77,B.Mathurin
B.Adebayo u10.5 Rebs,Markus_Markets,Miami Heat,Orlando Magic,0.0,0.5925925925925926,1,0.8,1,0.6,1,-134,1.0,1.7462686567164178,0.7462686567164178,B.Adebayo
B.Adebayo u10.5 Rebs,PvB_Bets,Miami Heat,Orlando Magic,0.0,0.5925925925925926,1,0.8,1,0.6,1,-134,1.0,1.7462686567164178,0.7462686567164178,B.Adebayo
B.Adebayo u10.5 Rebs,allanlemdfs,Miami Heat,Orlando Magic,0.0,0.5925925925925926,1,0.8,1,0.6,1,-125,0.63,1.134,0.5040000000000001,B.Adebayo
B.Adebayo u10.5 Rebs,GDAWG5000,Miami Heat,Orlando Magic,0.0,0.5925925925925926,1,0.8,1,0.6,1,-125,0.63,1.134,0.5040000000000001,B.Adebayo
B.Adebayo u10.5 Rebs,PropBomb,Miami Heat,Orlando Magic,0.0,0.5925925925925926,1,0.8,1,0.6,1,-125,1.25,2.25,1.0,B.Adebayo
C.Capela u10.5 Rebs,TopShelfAction,Atlanta Hawks,Chicago Bulls,1.0,0.7,1,0.8,1,0.6,1,100,1.4,2.8,1.4,C.Capela
J.Smith u6.5 Rebs,TopShelfAction_duplicate,Chicago Bulls,Atlanta Hawks,0.0,0.7037037037037037,1,0.4,0,0.5,0,120,0.6,1.32,0.7200000000000001,J.Smith
N.Richards o5.5 Rebs,TopShelfAction,Charlotte Hornets,Washington Wizards,0.0,0.7142857142857143,1,0.4,0,0.6,1,-110,0.7,1.3363636363636364,0.6363636363636365,N.Richards
I.Hartenstein o11.5 Rebs,KyleJustBets,Oklahoma City Thunder,Indiana Pacers,0.0,0.6923076923076923,1,0.6,1,0.7,1,-145,1.0,1.6896551724137931,0.6896551724137931,I.Hartenstein
J.Johnson o9.5 Rebs,kylemurray03_duplicate,Atlanta Hawks,Chicago Bulls,1.0,0.5714285714285714,1,0.8,1,0.6,1,-130,1.0,1.7692307692307692,0.7692307692307692,J.Johnson
