,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,Y.Missi o12.5 Pts+Rebs+Ast,therocketplays,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-120,1.2,2.2,1.0000000000000002,N
1,Y.Missi o1.5 Blk,kylemurray03,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-120,1.0,1.8333333333333333,0.8333333333333335,Y
2,S.Henderson o14.5 Pts,TopShelfAction,Portland Trail Blazers,New Orleans Pelicans,1.0,1.0,1,1.0,1,1.0,1,140,0.5,1.2,0.7,N
3,Y.Missi o1.5 Blk,PropBomb,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-110,1.0,1.9090909090909087,0.9090909090909092,Y
4,Y.Missi o12.5 Pts+Rebs+Ast,ThePropfessor_,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-115,1.15,2.1499999999999995,0.9999999999999996,N
5,Y.Missi o12.5 Pts+Rebs+Ast,JoeDellera,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-115,1.0,1.869565217391304,0.8695652173913042,N
6,B.Ingram o30.5 Pts+Rebs+Ast,TopShelfAction,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-105,0.8,1.561904761904762,0.7619047619047619,N
7,J.Hawkins o10.5 Pts,PropBetGuy,New Orleans Pelicans,Portland Trail Blazers,0.0,1.0,1,1.0,1,1.0,1,-125,1.0,1.8,0.8,Y
8,D.Daniels o9.5 Pts,therocketplays,Atlanta Hawks,Oklahoma City Thunder,0.0,1.0,1,1.0,1,1.0,1,-115,1.15,2.1499999999999995,0.9999999999999996,N
9,Z.Risacher o6.5 Pts,PropBomb,Atlanta Hawks,Oklahoma City Thunder,0.0,0.5,0,0.5,0,0.5,0,-130,1.0,1.7692307692307692,0.7692307692307692,Y
10,A.Wiggins o14.5 Pts,itsbucketsnba,Oklahoma City Thunder,Atlanta Hawks,1.0,0.5,0,0.5,0,0.5,0,-115,0.87,1.6265217391304347,0.7565217391304347,N
11,D.Jones o8.5 Pts,TopShelfAction,Los Angeles Clippers,Golden State Warriors,0.0,1.0,1,1.0,1,1.0,1,100,0.5,1.0,0.5,Y
12,M.Turner o15.5 Pts,JoeDellera,Indiana Pacers,Philadelphia 76ers,1.0,0.5,0,0.5,0,0.5,0,-113,1.0,1.8849557522123888,0.8849557522123894,N
13,C.Thomas o25.5 Pts,JoeDellera,Brooklyn Nets,Milwaukee Bucks,1.0,0.5,0,0.5,0,0.5,0,-110,0.91,1.7372727272727273,0.8272727272727273,Y
