,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct
0,L.Ball o27.5 Pts,the_degenerates,Charlotte Hornets,Milwaukee Bucks,1.0,0.6363636363636364,1,0.6,1,0.6,1,-122.0,1.22,2.22,1.0000000000000002,L.Ball,N
1,B.Miller o17.5 Pts,JoeDellera,Charlotte Hornets,Milwaukee Bucks,1.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0,-115.0,1.0,1.869565217391304,0.8695652173913042,B.Miller,N
2,G.Antetokounmpo o6.5 Ast,JoeDellera,Milwaukee Bucks,Charlotte Hornets,0.0,0.4545454545454545,0,0.4,0,0.4,0,-115.0,1.0,1.869565217391304,0.8695652173913042,G.Antetokounmpo,Y
3,B.Miller o17.5 Pts,RoyalsProps,Charlotte Hornets,Milwaukee Bucks,1.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0,-125.0,1.88,3.384,1.504,B.Miller,N
4,A.Davis o28.5 Pts,gneiffer07,Los Angeles Lakers,New Orleans Pelicans,0.0,0.7272727272727273,1,0.6,1,0.7,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,A.Davis,Y
5,L.Doncic o29.5 Pts,JoeDellera,Dallas Mavericks,San Antonio Spurs,1.0,0.5,0,0.6,1,0.5,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,L.Doncic,N
6,L.Doncic o17.5 Rebs+Ast,Mjaybrxd,Dallas Mavericks,San Antonio Spurs,1.0,0.3333333333333333,0,0.4,0,0.3,0,-115.0,1.0,1.869565217391304,0.8695652173913042,L.Doncic,N
7,V.Wembanyama o34.5 Pts+Rebs,Rotowire Sleeper,San Antonio Spurs,Dallas Mavericks,0.0,0.4615384615384615,0,0.8,1,0.5,0,100.0,1.5,3.0,1.5,V.Wembanyama,X
8,D.Fox o1.5 3pt made,Rotowire Sleeper,Sacramento Kings,Utah Jazz,1.0,0.6153846153846154,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,D.Fox,Y
9,J.Poeltl o12.5 Pts,Rotowire Prizepicks,Toronto Raptors,Boston Celtics,0.0,0.6923076923076923,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,J.Poeltl,Y
10,L.Markkanen o17.5 Pts,Rotowire Sleeper,Utah Jazz,Sacramento Kings,0.0,0.25,0,0.2,0,0.25,0,100.0,1.5,3.0,1.5,L.Markkanen,Y
11,B.Miller o25.5 Pts+Rebs+Ast,Rotowire Sleeper,Charlotte Hornets,Milwaukee Bucks,1.0,0.5714285714285714,1,0.6,1,0.5714285714285714,1,100.0,1.5,3.0,1.5,B.Miller,N
12,B.Lopez o18.5 Pts+Rebs,Rotowire Prizepicks,Milwaukee Bucks,Charlotte Hornets,0.0,0.4166666666666667,0,0.4,0,0.5,0,100.0,1.5,3.0,1.5,B.Lopez,N
13,L.Ball o39.5 Pts+Rebs+Ast,Rotowire Prizepicks,Charlotte Hornets,Milwaukee Bucks,1.0,0.6363636363636364,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,L.Ball,Y
14,B.Miller o16.5 Pts,RoyalsProps,Charlotte Hornets,Milwaukee Bucks,1.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0,-125.0,0.63,1.134,0.5040000000000001,B.Miller,N
15,C.Sexton o18.5 Pts+Ast,Rotowire Prizepicks,Utah Jazz,Sacramento Kings,0.0,0.6363636363636364,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,C.Sexton,Y
16,R.Hachimura o16.5 Pts+Rebs,Rotowire Sleeper,Los Angeles Lakers,New Orleans Pelicans,0.0,0.5,0,0.2,0,0.5,0,100.0,1.5,3.0,1.5,R.Hachimura,X
17,R.Hachimura o11.5 Pts,Rotowire Prizepicks,Los Angeles Lakers,New Orleans Pelicans,0.0,0.5,0,0.2,0,0.5,0,100.0,1.5,3.0,1.5,R.Hachimura,X
18,T.Prince o10.5 Pts+Ast,Rotowire Sleeper,Milwaukee Bucks,Charlotte Hornets,0.0,0.5,0,0.6,1,0.4,0,100.0,1.5,3.0,1.5,T.Prince,Y
19,A.Green o12.5 Pts+Rebs+Ast,Rotowire Sleeper,Milwaukee Bucks,Charlotte Hornets,0.0,0.3636363636363636,0,0.6,1,0.4,0,100.0,1.5,3.0,1.5,A.Green,N
20,K.Murray o14.5 Pts,TopShelfAction,Sacramento Kings,Utah Jazz,1.0,0.3076923076923077,0,0.2,0,0.3,0,-115.0,1.0,1.869565217391304,0.8695652173913042,K.Murray,N
21,J.Champagnie o9.5 Pts,Rotowire Sleeper,San Antonio Spurs,Dallas Mavericks,0.0,0.6153846153846154,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,J.Champagnie,Y
22,D.Sabonis u11.5 Rebs,TopShelfAction,Sacramento Kings,Utah Jazz,1.0,0.3076923076923077,0,0.2,0,0.3,0,118.0,1.0,2.18,1.1799999999999995,D.Sabonis,X
23,D.DeRozan o32.5 Pts+Rebs+Ast,TopShelfAction,Sacramento Kings,Utah Jazz,1.0,0.5,0,0.4,0,0.5,0,116.0,1.0,2.16,1.16,D.DeRozan,X
24,H.Barnes o10.5 Pts,Rotowire Sleeper,San Antonio Spurs,Dallas Mavericks,0.0,0.3846153846153846,0,0.2,0,0.3,0,100.0,1.5,3.0,1.5,H.Barnes,N
25,C.Sexton o22.5 Pts+Rebs+Ast,Rotowire Sleeper,Utah Jazz,Sacramento Kings,0.0,0.5454545454545454,1,1.0,1,0.6,1,100.0,1.5,3.0,1.5,C.Sexton,N
26,L.Markkanen o28.5 Pts+Rebs+Ast,Rotowire Sleeper,Utah Jazz,Sacramento Kings,0.0,0.25,0,0.2,0,0.25,0,100.0,1.5,3.0,1.5,L.Markkanen,Y
27,A.Davis u42.5 Pts+Rebs+Ast,TopShelfAction,Los Angeles Lakers,New Orleans Pelicans,0.0,0.4545454545454545,0,0.6,1,0.5,0,-102.0,1.0,1.9803921568627447,0.9803921568627452,A.Davis,N
28,H.Barnes o11.5 Pts,itsbucketsnba,San Antonio Spurs,Dallas Mavericks,0.0,0.2307692307692307,0,0.0,0,0.2,0,-115.0,1.0,1.869565217391304,0.8695652173913042,H.Barnes,N
29,D.Knecht o9.5 Pts,Rotowire Sleeper,Los Angeles Lakers,New Orleans Pelicans,0.0,0.3333333333333333,0,0.4,0,0.4,0,100.0,1.5,3.0,1.5,D.Knecht,Y
30,C.Sexton o18.5 Pts+Rebs,Rotowire Sleeper,Utah Jazz,Sacramento Kings,0.0,0.5454545454545454,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,C.Sexton,Y
