
,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm,date
0,L.Kornet,Boston Celtics,Miami Heat,1,2.13,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,121,-7.6,50000000029
12,J.Tatum,Boston Celtics,Miami Heat,1,41.36,14,4,11,1,0,1,0.474,0.423,0.308,5.1,28.1,15.5,17.6,1.3,0,18.8,99,113,-0.1,50000000029
1,J.Brown,Boston Celtics,Miami Heat,1,43.05,19,5,8,1,2,1,0.398,0.37,0.391,0,24.1,10.9,24.1,1.2,3.8,34.6,67,110,-8,50000000029
21,M.Smart,Boston Celtics,Miami Heat,1,35.24,9,4,2,1,0,1,0.45,0.45,0.6,0,7.3,3.3,20.4,1.5,0,15.8,87,116,-4.3,50000000029
20,A.Horford,Boston Celtics,Miami Heat,1,34.16,8,2,8,1,0,2,0.5,0.5,0.625,3.1,26.5,13.7,10.1,1.5,0,10.9,115,113,0.8,50000000029
19,G.Williams,Boston Celtics,Miami Heat,1,16.12,3,1,1,1,0,1,0.5,0.5,1,6.6,0,3.6,10.2,3.3,0,11.5,91,114,0.4,50000000029
18,P.Pritchard,Boston Celtics,Miami Heat,1,3.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.5,0,121,-17.3,50000000029
17,M.Brogdon,Boston Celtics,Miami Heat,1,7.05,0,0,0,0,1,0,0,0,0.667,0,0,0,0,0,11.7,19.8,0,110,-17.5,50000000029
16,S.Hauser,Boston Celtics,Miami Heat,1,3.56,2,0,1,0,0,0,0.333,0.333,0.667,27.1,0,14.9,0,0,0,35.6,84,121,-6.4,50000000029
14,M.Muscala,Boston Celtics,Miami Heat,1,2.13,3,0,1,0,0,1,1.5,1.5,1,48.1,0,26.4,0,0,0,21.1,264,121,53.9,50000000029
13,R.Williams,Boston Celtics,Miami Heat,1,13.59,8,1,6,0,1,0,0.8,0.8,0,22.9,27.8,25.1,18.8,0,5.9,16.7,171,110,14.9,50000000029
15,D.White,Boston Celtics,Miami Heat,1,36.16,18,1,2,1,0,2,0.597,0.5,0.75,2.9,3.6,3.2,5.2,1.5,0,22,112,117,1.9,50000000029
11,H.Highsmith,Miami Heat,Boston Celtics,0,9.21,2,0,1,1,0,0,0.5,0.5,0.5,0,11.4,6.3,0,5.6,0,10.2,99,86,0.7,50000000029
6,G.Vincent,Miami Heat,Boston Celtics,0,26.24,10,4,1,0,0,2,0.5,0.5,0.3,4.9,0,2.2,20.9,0,0,19.9,109,102,-1.7,50000000029
2,C.Martin,Miami Heat,Boston Celtics,0,44.49,26,3,10,1,0,4,0.813,0.813,0.375,8.7,16.7,13.1,10.6,1.2,0,18.1,154,94,12.7,50000000029
10,O.Yurtseven,Miami Heat,Boston Celtics,0,0.29,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,103,-5.7,50000000029
4,B.Adebayo,Miami Heat,Boston Celtics,0,42.44,12,7,10,0,1,0,0.51,0.4,0,3,22.5,13.7,21,0,2.8,17.6,100,93,-0.3,50000000029
5,M.Strus,Miami Heat,Boston Celtics,0,28,8,0,5,0,0,2,0.5,0.5,0.75,4.6,15.2,10.5,0,0,0,13.6,105,97,-4.1,50000000029
3,J.Butler,Miami Heat,Boston Celtics,0,43.17,28,6,7,3,0,3,0.485,0.482,0.25,3,14.8,9.5,23.2,3.7,0,32.9,106,89,6.2,50000000029
7,K.Lowry,Miami Heat,Boston Celtics,0,24.18,7,5,7,0,0,1,0.583,0.583,0.333,0,30.7,16.9,27.4,0,0,15.7,108,92,0.4,50000000029
8,D.Robinson,Miami Heat,Boston Celtics,0,20.09,10,1,1,2,1,2,0.833,0.833,0.5,0,5.3,2.9,7.3,5.2,6,21.3,97,86,8.9,50000000029
9,N.Jovic,Miami Heat,Boston Celtics,0,0.29,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,103,-4.8,50000000029
30,B.Adebayo,Miami Heat,Boston Celtics,1,45.39,11,5,13,1,1,0,0.31,0.25,0,14.2,15,14.5,18.3,1.2,2.4,16.9,104,116,-1.6,50000000027
37,C.Zeller,Miami Heat,Boston Celtics,1,2.21,1,0,0,0,0,0,0.568,,,0,0,0,0,0,0,16.2,122,124,-11.9,50000000027
36,K.Lowry,Miami Heat,Boston Celtics,1,18.05,8,3,2,2,1,0,0.581,0.5,0.167,5.1,6.3,5.6,31.8,5.9,6.2,18.9,124,106,9.5,50000000027
35,D.Robinson,Miami Heat,Boston Celtics,1,20.08,13,2,1,0,0,3,0.591,0.591,0.545,0,5.7,2.5,22.6,0,0,23.7,129,122,2.9,50000000027
34,M.Strus,Miami Heat,Boston Celtics,1,25.17,10,3,1,0,0,2,0.536,0.5,0.625,0,4.5,2,20.9,0,0,16,129,123,0.6,50000000027
33,C.Martin,Miami Heat,Boston Celtics,1,40.33,21,1,15,1,1,4,0.711,0.692,0.615,2.3,39.5,18.9,4.8,1.3,2.8,16.8,138,107,7,50000000027
32,G.Vincent,Miami Heat,Boston Celtics,1,41.17,15,0,4,0,1,3,0.417,0.417,0.333,2.2,8.3,4.9,0,0,2.7,19.9,88,120,-8.3,50000000027
31,J.Butler,Miami Heat,Boston Celtics,1,46.4,24,8,11,1,0,2,0.442,0.286,0.19,13.8,9.8,12,29.5,1.2,0,27.1,116,119,3.7,50000000027
24,M.Smart,Boston Celtics,Miami Heat,0,42.15,21,1,4,0,0,4,0.626,0.6,0.733,2.7,6.6,4.8,4.4,0,0,22.5,104,124,-4.3,50000000027
29,R.Williams,Boston Celtics,Miami Heat,0,17.01,10,0,7,0,1,0,0.791,0.8,0,6.7,32.5,21,0,0,4.5,17,164,105,7.4,50000000027
27,A.Horford,Boston Celtics,Miami Heat,0,31.53,4,2,7,0,2,0,0.333,0.333,0.333,3.6,17.4,11.2,9.7,0,4.8,10,81,115,-5.2,50000000027
26,J.Brown,Boston Celtics,Miami Heat,0,38.58,26,3,10,2,0,0,0.637,0.563,0.25,14.7,11.8,13.1,16.1,2.8,0,28.6,121,115,5,50000000027
25,D.White,Boston Celtics,Miami Heat,0,42.03,11,6,4,1,3,3,0.55,0.55,0.7,2.7,6.6,4.9,23.3,1.3,5.4,10.9,138,118,8.3,50000000027
23,J.Tatum,Boston Celtics,Miami Heat,0,43.56,31,5,12,1,2,0,0.542,0.364,0.364,7.8,18.9,13.9,21.6,1.2,3.5,32.9,118,112,6.7,50000000027
22,S.Hauser,Boston Celtics,Miami Heat,0,1.5,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,129,-6.1,50000000027
28,G.Williams,Boston Celtics,Miami Heat,0,22.04,1,1,3,0,0,0,0.102,0,0.75,0,12.5,6.9,6.4,0,0,10.1,38,120,-13,50000000027
6,K.Love,Miami Heat,Boston Celtics,0,13.44,6,0,6,0,0,0,0.429,0.429,0.143,30,27.6,28.7,0,0,0,24.9,112,130,-5.3,50000000025
11,N.Jovic,Miami Heat,Boston Celtics,0,3.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.6,0,140,-21.5,50000000025
9,C.Zeller,Miami Heat,Boston Celtics,0,4.07,4,0,2,0,0,0,1,1,0,33.3,30.7,31.9,0,0,0,35.5,115,129,8.5,50000000025
8,D.Robinson,Miami Heat,Boston Celtics,0,27.44,18,9,4,0,0,2,0.827,0.8,0.3,4.9,13.7,9.5,55.9,0,0,20.9,171,134,16.9,50000000025
7,C.Martin,Miami Heat,Boston Celtics,0,31.49,14,0,5,0,0,2,0.543,0.5,0.417,4.3,15.9,10.3,0,0,0,22.8,102,134,-6.9,50000000025
2,J.Butler,Miami Heat,Boston Celtics,0,33.35,14,5,5,2,0,0,0.554,0.5,0.2,0,18.8,9.8,21.8,3.4,0,21.3,114,125,1.7,50000000025
4,K.Lowry,Miami Heat,Boston Celtics,0,30.18,5,1,2,0,0,1,0.5,0.5,0.4,0,8.3,4.3,4.3,0,0,14.5,58,137,-13.7,50000000025
3,B.Adebayo,Miami Heat,Boston Celtics,0,31.53,16,3,8,2,1,0,0.533,0.533,0,8.6,23.8,16.5,16.2,3.6,3.8,32.1,86,121,-3.9,50000000025
10,O.Yurtseven,Miami Heat,Boston Celtics,0,3.2,2,0,2,0,1,0,0.5,0.5,0.5,41.1,37.9,39.5,0,0,36,29.3,124,108,11.3,50000000025
13,D.White,Boston Celtics,Miami Heat,1,37.05,24,1,3,2,0,6,0.974,1,0.727,3.4,7.4,5.3,4.4,3.1,0,17.9,174,117,9.9,50000000025
17,R.Williams,Boston Celtics,Miami Heat,1,17.55,6,1,4,0,1,0,1,1,0,0,30.6,14.7,8.4,0,4.9,8.3,205,115,5,50000000025
5,M.Strus,Miami Heat,Boston Celtics,0,24.1,3,1,0,0,0,1,0.3,0.3,0.8,0,0,0,5.2,0,0,10.1,81,140,-8.6,50000000025
14,M.Smart,Boston Celtics,Miami Heat,1,29.56,23,2,3,5,0,4,0.786,0.75,0.5,4.2,9.2,6.6,11.1,9.5,0,27.7,145,103,16.9,50000000025
16,G.Williams,Boston Celtics,Miami Heat,1,26.49,6,0,4,0,1,1,0.521,0.375,1,9.4,10.2,9.8,0,0,3.3,10.7,136,121,-7.6,50000000025
18,M.Brogdon,Boston Celtics,Miami Heat,1,7.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.6,0,126,-24.7,50000000025
19,P.Pritchard,Boston Celtics,Miami Heat,1,4.33,0,1,1,0,0,0,0,0,1,0,30.1,14.5,26.4,0,0,32.8,26,118,-35.1,50000000025
20,S.Hauser,Boston Celtics,Miami Heat,1,3.2,3,0,1,0,0,1,0.375,0.375,0.75,37.9,0,19.7,0,0,0,59.8,100,126,-16.6,50000000025
0,J.Champagnie,Boston Celtics,Miami Heat,1,2.22,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,126,-8.5,50000000025
21,L.Kornet,Boston Celtics,Miami Heat,1,3.2,0,0,0,0,1,0,,,,0,0,0,0,0,26.2,0,0,107,2.6,50000000025
22,J.Brown,Boston Celtics,Miami Heat,1,36.52,21,2,2,3,0,3,0.583,0.583,0.278,6.9,0,3.6,9.2,4.6,0,25.7,125,116,1,50000000025
1,J.Tatum,Boston Celtics,Miami Heat,1,40.52,21,11,8,2,0,1,0.563,0.531,0.375,0,26.8,12.9,42.2,2.8,0,27.6,120,113,2.8,50000000025
12,H.Highsmith,Miami Heat,Boston Celtics,0,36,15,1,2,2,0,3,0.833,0.833,0.444,3.8,3.5,3.7,4.2,3.2,0,12.2,173,131,8.1,50000000025
15,A.Horford,Boston Celtics,Miami Heat,1,29.01,6,5,11,1,1,0,0.429,0.429,0.429,21.8,28.4,24.9,23.6,2,3,12,150,113,4.8,50000000025
34,J.Champagnie,Boston Celtics,Miami Heat,0,1.01,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,118,-5.5,50000000023
28,R.Williams,Boston Celtics,Miami Heat,0,21.47,7,0,1,0,2,0,0.595,0.6,0.2,0,5,2.7,0,0,9.6,14.9,96,111,-8.1,50000000023
23,G.Williams,Boston Celtics,Miami Heat,0,29.13,14,2,6,1,1,4,0.888,0.857,0.857,8.4,14.9,11.9,9,1.8,3.6,12.7,182,107,12,50000000023
24,L.Kornet,Boston Celtics,Miami Heat,0,1.06,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,118,-7.2,50000000023
25,S.Hauser,Boston Celtics,Miami Heat,0,1.06,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,118,-7.1,50000000023
33,J.Brown,Boston Celtics,Miami Heat,0,37.19,17,4,4,2,0,1,0.467,0.469,0.313,0,11.7,6.2,15.1,2.8,0,24.2,100,108,-5.3,50000000023
26,P.Pritchard,Boston Celtics,Miami Heat,0,1.06,4,0,0,0,0,0,1.064,1,0,0,0,0,0,0,0,80.5,222,118,71.7,50000000023
30,A.Horford,Boston Celtics,Miami Heat,0,25.07,12,4,7,0,1,3,0.761,0.786,0.857,4.9,26.1,16.1,21.6,0,4.2,14.8,164,107,9.3,50000000023
31,D.White,Boston Celtics,Miami Heat,0,27.22,16,2,2,2,2,3,0.707,0.65,0.7,4.5,4,4.2,10.2,3.8,7.6,21.2,136,104,9.6,50000000023
32,M.Smart,Boston Celtics,Miami Heat,0,35.08,11,6,3,2,0,3,0.5,0.5,0.818,3.5,6.2,4.9,21.8,3,0,16.1,117,109,0.6,50000000023
27,M.Brogdon,Boston Celtics,Miami Heat,0,16.33,2,3,5,0,0,0,0.2,0.2,0.4,7.4,26.4,17.5,21.7,0,0,17.1,77,109,-11.6,50000000023
35,M.Muscala,Boston Celtics,Miami Heat,0,1.06,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,118,-6.6,50000000023
29,J.Tatum,Boston Celtics,Miami Heat,0,42.06,33,7,11,1,2,4,0.721,0.727,0.409,2.9,25.9,15.1,29.5,1.2,5,31.2,122,104,9.8,50000000023
37,O.Yurtseven,Miami Heat,Boston Celtics,1,1.06,0,0,1,0,0,0,,,,99.2,0,52.6,0,0,0,0,221,132,1.5,50000000023
41,C.Martin,Miami Heat,Boston Celtics,1,35.14,16,1,4,0,1,2,0.81,0.778,0.556,0,14,6.6,5.3,0,3.5,15.4,131,127,3.6,50000000023
42,K.Lowry,Miami Heat,Boston Celtics,1,27.44,5,6,8,2,0,1,0.313,0.313,0.625,11.8,22.2,16.7,34,3.7,0,19.7,77,119,-4,50000000023
38,B.Adebayo,Miami Heat,Boston Celtics,1,35.07,10,0,5,1,0,0,0.571,0.571,0,3.1,14,8.2,0,1.5,0,16.6,78,125,-10,50000000023
36,J.Butler,Miami Heat,Boston Celtics,1,38.49,29,5,9,1,1,1,0.552,0.452,0.19,11.2,15.9,13.4,27,1.3,3.2,33.2,122,124,9,50000000023
40,K.Love,Miami Heat,Boston Celtics,1,11.46,6,0,4,1,0,2,0.5,0.5,0.667,0,41.8,19.7,0,4.4,0,23.2,105,114,4.7,50000000023
39,G.Vincent,Miami Heat,Boston Celtics,1,27.52,17,4,1,0,0,1,0.65,0.55,0.4,3.9,0,2.1,27.1,0,0,23,138,131,3.1,50000000023
47,M.Strus,Miami Heat,Boston Celtics,1,35.56,9,1,7,0,0,1,0.5,0.5,0.556,3,20.6,11.3,4.7,0,0,11.4,114,128,-3,50000000023
43,C.Zeller,Miami Heat,Boston Celtics,1,12.47,5,0,3,0,0,0,0.753,0.5,0,8.5,19.3,13.6,0,0,0,11.8,172,128,0.6,50000000023
44,D.Robinson,Miami Heat,Boston Celtics,1,10.52,2,1,1,0,0,0,0.2,0.2,0.8,0,11.3,5.3,14.9,0,0,29.4,38,129,-24.3,50000000023
45,H.Highsmith,Miami Heat,Boston Celtics,1,1.41,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,132,-5.3,50000000023
46,N.Jovic,Miami Heat,Boston Celtics,1,1.06,0,0,1,0,0,0,0,0,1,0,100,52.6,0,0,0,41.4,0,113,-37.3,50000000023
53,A.Reaves,Los Angeles Lakers,Denver Nuggets,1,40.41,17,3,2,0,0,1,0.666,0.591,0.182,3.2,2.9,3,10.8,0,0,15.7,135,133,-0.9,50000000022
49,K.Caldwell-Pope,Denver Nuggets,Los Angeles Lakers,0,39.22,13,1,4,0,1,3,0.597,0.55,0.7,3,9.9,6.3,3.4,0,1.8,14.1,119,127,-2.7,50000000022
50,R.Hachimura,Los Angeles Lakers,Denver Nuggets,1,41.56,10,0,7,0,0,0,0.363,0.25,0.25,3.1,16.8,10.3,0,0,0,15.2,86,128,-9.2,50000000022
51,L.James,Los Angeles Lakers,Denver Nuggets,1,47.56,40,9,10,2,0,4,0.712,0.68,0.28,5.4,19.5,12.8,36.1,2.2,0,28.2,150,123,20,50000000022
52,J.Green,Denver Nuggets,Los Angeles Lakers,0,10.01,2,0,1,0,1,0,1.136,,,0,13,6.1,0,0,7.3,4.1,250,121,1.7,50000000022
48,B.Brown,Denver Nuggets,Los Angeles Lakers,0,20.29,6,0,2,0,0,0,0.773,0.667,0.333,5.7,6.3,6,0,0,0,11.1,130,129,-8.3,50000000022
54,A.Davis,Los Angeles Lakers,Denver Nuggets,1,40.02,21,1,14,1,3,0,0.541,0.4,0,6.5,35.1,21.5,3.7,1.3,6.9,23.6,117,115,2.2,50000000022
58,L.Walker,Los Angeles Lakers,Denver Nuggets,1,6.32,2,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,21.3,62,133,-19.6,50000000022
56,J.Murray,Denver Nuggets,Los Angeles Lakers,0,43.12,25,5,3,2,1,0,0.619,0.556,0.222,0,9,4.3,18.6,2.5,1.7,24,125,122,2.1,50000000022
59,T.Thompson,Los Angeles Lakers,Denver Nuggets,1,9.41,4,0,1,0,0,0,0.45,0.5,0,13.4,0,6.4,0,0,0,21.3,103,133,-4.9,50000000022
60,D.Russell,Los Angeles Lakers,Denver Nuggets,1,14.56,4,2,2,0,1,0,0.5,0.5,0.25,8.7,7.8,8.2,19.1,0,6.2,15.5,104,127,-2.2,50000000022
61,D.Schroder,Los Angeles Lakers,Denver Nuggets,1,38.16,13,5,2,2,0,3,0.5,0.5,0.462,0,6.1,3.2,18.6,2.8,0,17,108,125,0.8,50000000022
62,A.Gordon,Denver Nuggets,Los Angeles Lakers,0,40.43,22,5,6,0,2,3,0.718,0.75,0.357,11.5,6.4,9.1,19.4,0,3.6,17.6,160,126,10.1,50000000022
55,M.Porter,Denver Nuggets,Los Angeles Lakers,0,40.57,15,1,10,0,1,3,0.444,0.406,0.625,5.7,25.3,15,3.3,0,1.8,20.4,99,123,-6.5,50000000022
57,N.Jokic,Denver Nuggets,Los Angeles Lakers,0,45.16,30,13,14,1,3,3,0.563,0.521,0.25,7.8,31.5,19,47,1.2,4.8,30.6,127,117,13.2,50000000022
68,N.Jovic,Miami Heat,Boston Celtics,1,4.43,2,0,3,0,0,0,1,1,0,27.5,37,33.2,0,0,0,10.3,217,95,9.3,50000000021
64,J.Tatum,Boston Celtics,Miami Heat,0,33.27,14,2,10,2,0,1,0.38,0.361,0.389,5.2,31,15.6,9.4,3,0,25.5,82,128,-5.8,50000000021
65,G.Vincent,Miami Heat,Boston Celtics,1,35.28,29,3,2,1,1,6,1.004,1,0.643,0,4.9,2.9,13,1.4,2.4,22.4,164,110,14.1,50000000021
66,M.Smart,Boston Celtics,Miami Heat,0,30.25,8,8,9,0,0,0,0.392,0.25,0.375,5.7,29.9,15.4,35.2,0,0,16,106,135,-4.6,50000000021
63,C.Martin,Miami Heat,Boston Celtics,1,34.56,18,4,3,1,0,4,0.818,0.818,0.636,0,7.5,4.5,15.1,1.4,0,15.2,161,110,9.3,50000000021
71,K.Lowry,Miami Heat,Boston Celtics,1,28.03,7,4,5,1,0,1,0.583,0.583,0.333,0,15.6,9.3,16.7,1.8,0,12.1,118,104,-2.7,50000000021
69,C.Zeller,Miami Heat,Boston Celtics,1,17.31,4,0,4,0,2,0,0.41,0.5,0,0,19.9,11.9,0,0,9.8,13.5,76,101,-4.2,50000000021
70,D.Robinson,Miami Heat,Boston Celtics,1,22.48,22,4,2,0,0,5,0.893,0.864,0.636,0,7.7,4.6,26.9,0,0,28.3,162,113,15.9,50000000021
72,K.Love,Miami Heat,Boston Celtics,1,4.47,5,0,2,0,0,1,0.833,0.833,0.333,0,36.5,21.8,0,0,0,30.3,139,95,14.1,50000000021
67,H.Highsmith,Miami Heat,Boston Celtics,1,4.43,0,1,0,0,0,0,,,,0,0,0,22.1,0,0,0,241,117,1.9,50000000021
73,M.Strus,Miami Heat,Boston Celtics,1,25.27,10,1,3,1,0,2,0.506,0.444,0.889,0,10.3,6.2,4.7,2,0,18.8,102,107,-3.4,50000000021
74,B.Adebayo,Miami Heat,Boston Celtics,1,25.31,13,2,3,1,1,0,0.851,0.8,0,0,10.3,6.1,9.8,1.9,3.4,20.2,126,105,0.8,50000000021
77,M.Muscala,Boston Celtics,Miami Heat,0,7.43,3,0,2,0,0,0,0.399,0,1,22.6,0,13.5,0,0,0,24.6,89,136,-11.8,50000000021
76,O.Yurtseven,Miami Heat,Boston Celtics,1,4.43,2,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,41,47,117,-39.4,50000000021
85,P.Pritchard,Boston Celtics,Miami Heat,0,12,12,5,2,0,0,1,0.676,0.688,0.25,0,21.6,8.7,100,0,0,32.8,141,135,18.6,50000000021
75,J.Butler,Miami Heat,Boston Celtics,1,31.2,16,6,8,2,0,0,0.498,0.385,0.077,0,22.3,13.3,24,3.2,0,27.9,106,97,-1.2,50000000021
83,J.Brown,Boston Celtics,Miami Heat,0,27.44,12,2,6,0,0,0,0.353,0.353,0.412,6.3,18.7,11.3,12.1,0,0,28.7,76,135,-13.1,50000000021
82,G.Williams,Boston Celtics,Miami Heat,0,28.43,12,2,3,0,0,2,0.857,0.857,0.429,3,9,5.5,10.9,0,0,11.1,151,135,2.4,50000000021
