,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,M.Morris o10.5 Pts,SBK5065,-120,0.6,1.1,17.102500000000003,Washington Wizards,M.Morris,Cleveland Cavaliers,1.0,0.5000000000000001,N,0.4347826086956521,0,0.4,0,0.6,1
1,1,M.Morris o14.5 Pts,SBK5065,270,0.2,0.7400000000000001,0.0,Washington Wizards,M.Morris,Cleveland Cavaliers,1.0,0.54,N,0.1956521739130435,0,0.2,0,0.3,0
2,2,J.Allen o11.5 Rebs,JoeDellera,135,0.15,0.3525,9.325400000000002,Cleveland Cavaliers,J.Allen,Washington Wizards,0.0,0.2024999999999999,N,0.2448979591836734,0,0.2,0,0.2,0
3,3,J.Allen o10.5 Rebs,JoeDellera,-110,1.0,1.9090909090909087,0.0,Cleveland Cavaliers,J.Allen,Washington Wizards,0.0,0.9090909090909092,N,0.4489795918367347,0,0.6,1,0.4,0
4,4,M.Morris o14.5 Pts,JoeDellera,270,0.35,1.295,0.0,Washington Wizards,M.Morris,Cleveland Cavaliers,1.0,0.945,N,0.1956521739130435,0,0.2,0,0.3,0
5,5,M.Morris o10.5 Pts,JoeDellera,-122,1.0,1.819672131147541,0.0,Washington Wizards,M.Morris,Cleveland Cavaliers,1.0,0.819672131147541,N,0.4347826086956521,0,0.4,0,0.6,1
6,6,D.Mitchell u35.5 Pts+Rebs+Ast,PropBetGuy,-113,1.13,2.13,-5.890000000000006,Cleveland Cavaliers,D.Mitchell,Washington Wizards,0.0,1.0,Y,0.5217391304347826,1,1.0,1,0.7,1
7,7,J.Ivey o4.5 Ast,SBK5065,-115,0.58,1.0843478260869563,17.102500000000003,Detroit Pistons,J.Ivey,Boston Celtics,1.0,0.5043478260869564,Y,0.5294117647058824,1,0.8,1,0.8,1
8,8,J.Tatum o29.5 Pts,SBK5065,-125,0.63,1.134,0.0,Boston Celtics,J.Tatum,Detroit Pistons,0.0,0.5040000000000001,Y,0.5882352941176471,1,0.8,1,0.8,1
9,9,M.Brogdon o14.5 Pts,SBK5065,-125,0.63,1.134,0.0,Boston Celtics,M.Brogdon,Detroit Pistons,0.0,0.5040000000000001,Y,0.5,0,0.4,0,0.6,1
10,10,E.Sumner o19.5 Pts,SBK5065,290,0.15,0.585,17.102500000000003,Brooklyn Nets,E.Sumner,Los Angeles Clippers,1.0,0.4349999999999999,Y,0.0888888888888888,0,0.4,0,0.3,0
11,11,E.Sumner o14.5 Pts,SBK5065,-105,0.53,1.0347619047619048,0.0,Brooklyn Nets,E.Sumner,Los Angeles Clippers,1.0,0.5047619047619047,Y,0.1555555555555555,0,0.4,0,0.3,0
12,12,N.Claxton o2.5 Stl+Blk,JoeDellera,-160,0.5,0.8125,9.325400000000002,Brooklyn Nets,N.Claxton,Los Angeles Clippers,1.0,0.3125,Y,0.98,1,1.0,1,1.0,1
13,13,E.Sumner o14.5 Pts,JoeDellera,-118,0.65,1.2008474576271186,0.0,Brooklyn Nets,E.Sumner,Los Angeles Clippers,1.0,0.5508474576271186,Y,0.1555555555555555,0,0.4,0,0.3,0
14,14,E.Sumner o14.5 Pts,PropBetGuy,-118,1.18,2.18,-5.890000000000006,Brooklyn Nets,E.Sumner,Los Angeles Clippers,1.0,0.9999999999999998,Y,0.1555555555555555,0,0.4,0,0.3,0
15,15,A.Sengun o5.5 Ast,JoeMetz,110,0.91,1.9110000000000005,3.1399999999999992,Houston Rockets,A.Sengun,Sacramento Kings,1.0,1.0010000000000003,Y,0.2857142857142857,0,0.4,0,0.7,1
16,16,D.DeRozan o25.5 Pts,SBK5065,-120,0.6,1.1,17.102500000000003,Chicago Bulls,D.DeRozan,San Antonio Spurs,1.0,0.5000000000000001,N,0.56,1,0.4,0,0.6,1
17,17,J.Richardson o4.5 Ast,SBK5065,105,0.5,1.025,0.0,San Antonio Spurs,J.Richardson,Chicago Bulls,0.0,0.5249999999999999,N,0.2439024390243902,0,0.2,0,0.3,0
18,18,D.DeRozan o25.5 Pts,PropBomb,-120,1.2,2.2,-5.29,Chicago Bulls,D.DeRozan,San Antonio Spurs,1.0,1.0000000000000002,N,0.56,1,0.4,0,0.6,1
19,19,D.Powell Double-Double Yes,SBK5065,1800,0.15,2.85,17.102500000000003,Dallas Mavericks,D.Powell,Utah Jazz,0.0,2.7,Y,0.02,0,0.2,0,0.1,0
20,20,D.Powell Double-Double Yes,JoeDellera,1800,0.15,2.85,9.325400000000002,Dallas Mavericks,D.Powell,Utah Jazz,0.0,2.7,Y,0.02,0,0.2,0,0.1,0
21,21,D.Powell Double-Double Yes,charliedisturco,1800,0.15,2.85,-1.0657000000000003,Dallas Mavericks,D.Powell,Utah Jazz,0.0,2.7,Y,0.02,0,0.2,0,0.1,0
22,22,C.Wood o9.5 Rebs,PropBomb,-120,1.2,2.2,-5.29,Dallas Mavericks,C.Wood,Utah Jazz,0.0,1.0000000000000002,N,0.2558139534883721,0,0.4,0,0.4,0
23,23,D.Powell Double-Double Yes,wheatonbrando,1800,0.5,9.5,6.1614,Dallas Mavericks,D.Powell,Utah Jazz,0.0,9.0,Y,0.02,0,0.2,0,0.1,0
24,24,J.Grant u27.5 Pts+Rebs+Ast,PropBetGuy,-120,1.8,3.3000000000000003,-5.890000000000006,Portland Trail Blazers,J.Grant,Milwaukee Bucks,1.0,1.5000000000000002,Y,0.5961538461538461,1,1.0,1,0.8,1
25,25,J.Poole o22.5 Pts,JoeDellera,-116,1.0,1.862068965517241,9.325400000000002,Golden State Warriors,J.Poole,Oklahoma City Thunder,1.0,0.8620689655172413,N,0.4259259259259259,0,0.0,0,0.2,0
26,26,D.Green o8.5 Rebs,JoeDellera,-105,0.5,0.9761904761904762,0.0,Golden State Warriors,D.Green,Oklahoma City Thunder,1.0,0.4761904761904761,Y,0.3958333333333333,0,0.8,1,0.7,1
27,27,J.Poole o23.5 Pts,JoeMetz,-128,1.28,2.28,3.1399999999999992,Golden State Warriors,J.Poole,Oklahoma City Thunder,1.0,1.0000000000000002,N,0.4074074074074074,0,0.0,0,0.2,0
0,0,D.Green o14.5 Rebs+Ast,JoeMetz,-115,1.15,2.1499999999999995,0.0,Golden State Warriors,D.Green,Sacramento Kings,1.0,0.9999999999999996,Y,0.4078947368421052,0,0.4,0,0.5,0
1,1,J.Tatum o4.5 Ast,JoeDellera,110,0.6,1.26,0.0,Boston Celtics,J.Tatum,Atlanta Hawks,0.0,0.66,N,0.5,0,0.4,0,0.4,0
2,2,T.Young o8.5 Ast,VegasRefund,-110,1.1,2.1,0.0,Atlanta Hawks,T.Young,Boston Celtics,1.0,1.0,Y,0.6794871794871795,1,0.4,0,0.6,1
3,3,A.Edwards o27.5 Pts,JoeDellera,-115,0.75,1.402173913043478,0.0,Minnesota Timberwolves,A.Edwards,Denver Nuggets,1.0,0.652173913043478,Y,0.4235294117647059,0,0.6,1,0.5,0
4,4,M.Conley o21.5 Pts+Rebs+Ast,VegasRefund,-125,1.25,2.25,0.0,Minnesota Timberwolves,M.Conley,Denver Nuggets,1.0,1.0,Y,0.4666666666666667,0,0.4,0,0.5,0
0,0,D.Avdija u4.5 Ast,The_Oddsmaker,-125,1.25,2.25,1.0,Washington Wizards,D.Avdija,Boston Celtics,1.0,1.0,N,0.8108108108108109,1,0.2,0,0.5,0
1,1,D.Avdija o1.5 3pt M,GDAWG5000,150,0.5,1.25,-1.2794000000000003,Washington Wizards,D.Avdija,Boston Celtics,1.0,0.75,Y,0.2162162162162162,0,0.6,1,0.3,0
2,2,D.Avdija o26.5 Pts+Rebs+Ast,JoeMetz,-125,1.25,2.25,-12.825,Washington Wizards,D.Avdija,Boston Celtics,1.0,1.0,Y,0.1891891891891892,0,1.0,1,0.5,0
3,3,T.Herro o4.5 Ast,SBK5065,-130,0.65,1.15,0.0,Miami Heat,T.Herro,Toronto Raptors,0.0,0.4999999999999999,Y,0.4354838709677419,0,0.2,0,0.3,0
4,4,P.Siakam o4.5 Ast,JoeDellera,-135,0.55,0.9574074074074076,0.0,Toronto Raptors,P.Siakam,Miami Heat,1.0,0.4074074074074074,Y,0.7424242424242424,1,0.8,1,0.7,1
5,5,P.Siakam u22.5 Pts,JoeMetz,-109,1.09,2.0900000000000003,-12.825,Toronto Raptors,P.Siakam,Miami Heat,1.0,1.0000000000000002,N,0.3787878787878788,0,0.4,0,0.5,0
6,6,T.Young o25.5 Pts,PropBetGuy,-120,1.2,2.2,11.2422,Atlanta Hawks,T.Young,Cleveland Cavaliers,1.0,1.0000000000000002,N,0.5507246376811594,1,0.6,1,0.6,1
7,7,D.Garland o21.5 Pts,PropBomb,-125,1.25,2.25,7.283099999999999,Cleveland Cavaliers,D.Garland,Atlanta Hawks,0.0,1.0,Y,0.4242424242424242,0,0.4,0,0.4,0
8,8,J.Williams o24.5 Pts+Ast,SBK5065,-105,1.05,2.05,13.1785,Oklahoma City Thunder,J.Williams,Charlotte Hornets,1.0,0.9999999999999998,Y,0.1228070175438596,0,0.4,0,0.2,0
9,9,N.Richards o9.5 Rebs,SBK5065,-130,0.65,1.15,0.0,Charlotte Hornets,N.Richards,Oklahoma City Thunder,0.0,0.4999999999999999,Y,0.2295081967213114,0,0.8,1,0.6,1
10,10,J.Williams o24.5 Pts+Ast,PropBetGuy,-110,1.65,3.15,11.2422,Oklahoma City Thunder,J.Williams,Charlotte Hornets,1.0,1.5,Y,0.1228070175438596,0,0.4,0,0.2,0
11,11,N.Richards o9.5 Rebs,JoeDellera,-130,0.5,0.8846153846153846,11.1721,Charlotte Hornets,N.Richards,Oklahoma City Thunder,0.0,0.3846153846153846,Y,0.2295081967213114,0,0.8,1,0.6,1
12,12,P.Washington o2.5 3pt M,JoeMetz,145,1.0,2.45,-12.825,Charlotte Hornets,P.Washington,Oklahoma City Thunder,0.0,1.4500000000000002,Y,0.3472222222222222,0,0.4,0,0.4,0
13,13,M.Fultz u15.5 Pts,PropBetGuy,-115,1.73,3.2343478260869563,11.2422,Orlando Magic,M.Fultz,Memphis Grizzlies,0.0,1.5043478260869565,Y,0.6,1,0.8,1,0.6,1
14,14,L.Kennard u11.5 Pts,PropBomb,-125,1.25,2.25,7.283099999999999,Memphis Grizzlies,L.Kennard,Orlando Magic,1.0,1.0,N,0.5263157894736842,1,0.2,0,0.3,0
15,15,T.Jones o27.5 Pts+Rebs+Ast,JoeMetz,-110,1.1,2.1,0.0,Memphis Grizzlies,T.Jones,Orlando Magic,1.0,1.0,N,0.1333333333333333,0,0.0,0,0.2,0
16,16,B.Ingram u27.5 Pts,SBK5065,-125,0.63,1.134,13.1785,New Orleans Pelicans,B.Ingram,Golden State Warriors,0.0,0.5040000000000001,Y,0.6410256410256411,1,0.2,0,0.5,0
17,17,J.Valanciunas o11.5 Rebs,JoeDellera,-115,0.8,1.4956521739130435,11.1721,New Orleans Pelicans,J.Valanciunas,Golden State Warriors,0.0,0.6956521739130435,N,0.3835616438356164,0,0.8,1,0.7,1
18,18,T.Murphy o2.5 3pt M,JoeDellera,-137,0.8,1.383941605839416,0.0,New Orleans Pelicans,T.Murphy,Golden State Warriors,0.0,0.583941605839416,Y,0.4931506849315068,0,0.8,1,0.8,1
19,19,T.Murphy o3.5 3pt M,JoeDellera,180,0.4,1.12,0.0,New Orleans Pelicans,T.Murphy,Golden State Warriors,0.0,0.7199999999999999,Y,0.2602739726027397,0,0.6,1,0.6,1
20,20,B.Ingram u27.5 Pts,PropBomb,-125,1.25,2.25,7.283099999999999,New Orleans Pelicans,B.Ingram,Golden State Warriors,0.0,1.0,Y,0.6410256410256411,1,0.2,0,0.5,0
21,21,J.Poole o2.5 3pt M,GDAWG5000,115,0.5,1.075,-1.2794000000000003,Golden State Warriors,J.Poole,New Orleans Pelicans,1.0,0.575,N,0.4545454545454545,0,0.4,0,0.4,0
22,22,J.Poole o3.5 3pt M,GDAWG5000,300,0.3,1.2,0.0,Golden State Warriors,J.Poole,New Orleans Pelicans,1.0,0.8999999999999999,N,0.2467532467532467,0,0.2,0,0.2,0
23,23,J.Poole o4.5 3pt M,GDAWG5000,700,0.2,1.6,0.0,Golden State Warriors,J.Poole,New Orleans Pelicans,1.0,1.4,N,0.1558441558441558,0,0.2,0,0.1,0
24,24,C.McCollum o5.5 Ast,JoeMetz,-115,1.15,2.1499999999999995,-12.825,New Orleans Pelicans,C.McCollum,Golden State Warriors,0.0,0.9999999999999996,N,0.5362318840579711,1,0.4,0,0.6,1
0,0,K.Kuzma u28.5 Pts+Rebs+Ast,SBK5065,-108,0.54,1.04,9.2328,Washington Wizards,K.Kuzma,Detroit Pistons,1.0,0.5,N,0.25,0,0.25,0,0.25,0
1,1,S.Bey u18.5 Pts,SBK5065,-125,0.63,1.134,9.2328,Detroit Pistons,S.Bey,Washington Wizards,0.0,0.5039999999999999,Y,0.5,0,0.5,0,0.5,0
2,2,J.Ivey o14.5 Pts,SBK5065,-118,0.59,1.09,9.2328,Detroit Pistons,J.Ivey,Washington Wizards,0.0,0.5000000000000001,N,0.75,1,0.75,1,0.75,1
3,3,K.Porzingis o8.5 Rebs,SBK5065,-115,0.58,1.0843478260869563,9.2328,Washington Wizards,K.Porzingis,Detroit Pistons,1.0,0.5043478260869564,N,0.5,0,0.5,0,0.5,0
4,4,K.Porzingis u19.5 Pts,SBK5065,-118,0.59,1.09,9.2328,Washington Wizards,K.Porzingis,Detroit Pistons,1.0,0.5000000000000001,N,0.75,1,0.75,1,0.75,1
5,5,B.Beal o5.5 Ast,SBK5065,-128,0.64,1.14,9.2328,Washington Wizards,B.Beal,Detroit Pistons,1.0,0.4999999999999999,Y,0.75,1,0.75,1,0.75,1
6,6,S.Bey u25.5 Pts+Rebs+Ast,SBK5065,-110,0.55,1.05,9.2328,Detroit Pistons,S.Bey,Washington Wizards,0.0,0.5,Y,0.5,0,0.5,0,0.5,0
7,7,B.Beal o28.5 Pts+Ast,PropBetGuy,-120,1.2,2.2,0.0,Washington Wizards,B.Beal,Detroit Pistons,1.0,1.0000000000000002,N,0.5,0,0.5,0,0.5,0
8,8,J.Ivey o23.5 Pts+Rebs+Ast,JoeMetz,-120,1.2,2.2,0.0,Detroit Pistons,J.Ivey,Washington Wizards,0.0,1.0000000000000002,N,0.75,1,0.75,1,0.75,1
