,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,5,L.James o7.5 Rebs,Los Angeles Lakers,JoeDellera,105,0.75,1.5375,0.0,L.James,New York Knicks,0,0.7874999999999999,0.6585365853658537,1.0,1.0,1.0,1.0,1.0
4,6,A.Davis o9.5 Rebs,Los Angeles Lakers,JoeDellera,-125,0.55,0.99,0.0,A.Davis,New York Knicks,0,0.44,0.7407407407407407,1.0,0.8,1.0,0.8,1.0
5,7,L.James o7.5 Rebs,Los Angeles Lakers,SBK5065,110,0.5,1.05,16.145,L.James,New York Knicks,0,0.55,0.6585365853658537,1.0,1.0,1.0,1.0,1.0
10,15,G.Antetokounmpo u13.5 Rebs,Milwaukee Bucks,JoeDellera,-105,1.0,1.9523809523809523,0.0,G.Antetokounmpo,Charlotte Hornets,1,0.9523809523809524,0.6923076923076923,1.0,0.6,1.0,0.6,1.0
11,16,G.Antetokounmpo u13.5 Rebs,Milwaukee Bucks,SBK5065,102,0.5,1.01,16.145,G.Antetokounmpo,Charlotte Hornets,1,0.51,0.6923076923076923,1.0,0.6,1.0,0.6,1.0
13,19,N.Jokic o10.5 Rebs,Denver Nuggets,JoeDellera,-132,1.0,1.7575757575757576,18.1834,N.Jokic,New Orleans Pelicans,1,0.7575757575757576,0.5116279069767442,1.0,0.6,1.0,0.6,1.0
5,5,L.James o7.5 Rebs,Los Angeles Lakers,JoeDellera,105,0.75,1.5375,0.0,L.James,New York Knicks,0,0.7874999999999999,,,,,,
6,6,A.Davis o9.5 Rebs,Los Angeles Lakers,JoeDellera,-125,0.55,0.99,0.0,A.Davis,New York Knicks,0,0.44,,,,,,
7,7,L.James o7.5 Rebs,Los Angeles Lakers,SBK5065,110,0.5,1.05,16.145,L.James,New York Knicks,0,0.55,,,,,,
15,15,G.Antetokounmpo u13.5 Rebs,Milwaukee Bucks,JoeDellera,-105,1.0,1.9523809523809523,0.0,G.Antetokounmpo,Charlotte Hornets,1,0.9523809523809524,,,,,,
16,16,G.Antetokounmpo u13.5 Rebs,Milwaukee Bucks,SBK5065,102,0.5,1.01,16.145,G.Antetokounmpo,Charlotte Hornets,1,0.51,,,,,,
19,19,N.Jokic o10.5 Rebs,Denver Nuggets,JoeDellera,-132,1.0,1.7575757575757576,18.1834,N.Jokic,New Orleans Pelicans,1,0.7575757575757576,,,,,,
20,20,N.Jokic o10.5 Rebs,Denver Nuggets,SBK5065,-125,0.63,1.134,16.145,N.Jokic,New Orleans Pelicans,1,0.5040000000000001,,,,,,
