,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,2.0,2.0,4.0,4,4,4,M.Wagner u13.5 Pts,SBK5065,-120,0.6,1.1,8.4506,Orlando Magic,M.Wagner,Toronto Raptors,1,0.5000000000000001,0.6956521739130435,1.0,1.0,1.0,0.8,1.0
4,4.0,4.0,8.0,8,8,8,B.Hield u18.5 Pts,SBK5065,-125,0.63,1.134,8.4506,Indiana Pacers,B.Hield,Washington Wizards,1,0.5039999999999999,0.5454545454545454,1.0,0.6,1.0,0.4,0.0
8,8.0,8.0,13.0,13,13,13,I.Quickley o11.5 Pts,SBK5065,-110,0.5,0.9545454545454546,8.4506,New York Knicks,I.Quickley,Charlotte Hornets,0,0.4545454545454546,0.5,0.0,0.8,1.0,0.9,1.0
9,9.0,9.0,14.0,14,14,14,I.Quickley o14.5 Pts,SBK5065,220,0.2,0.6400000000000001,8.4506,New York Knicks,I.Quickley,Charlotte Hornets,0,0.4400000000000001,0.3636363636363636,0.0,0.6,1.0,0.7,1.0
10,10.0,10.0,19.0,19,19,19,C.Capela o11.5 Pts,SBK5065,-124,0.62,1.12,8.4506,Atlanta Hawks,C.Capela,Brooklyn Nets,0,0.5000000000000001,0.5555555555555556,1.0,0.8,1.0,0.7,1.0
11,11.0,11.0,21.0,21,21,21,K.Irving o23.5 Pts,JoeMetz,-105,1.05,2.05,-22.7,Brooklyn Nets,K.Irving,Atlanta Hawks,1,0.9999999999999998,0.65625,1.0,0.6,1.0,0.7,1.0
15,15.0,15.0,31.0,31,31,31,D.Melton u13.5 Pts,SBK5065,-120,0.6,1.1,8.4506,Philadelphia 76ers,D.Melton,Los Angeles Lakers,1,0.5000000000000001,0.775,1.0,1.0,1.0,0.8,1.0
16,16.0,16.0,32.0,32,32,32,J.Harden o21.5 Pts,SBK5065,-110,0.55,1.05,8.4506,Philadelphia 76ers,J.Harden,Los Angeles Lakers,1,0.5,0.5,0.0,0.6,1.0,0.6,1.0
17,17.0,17.0,37.0,37,37,37,Z.Williamson o25.5 Pts,PropBomb,-110,1.1,2.1,0.0,New Orleans Pelicans,Z.Williamson,Phoenix Suns,1,1.0,0.5862068965517241,1.0,0.6,1.0,0.8,1.0
4,,,,4,4,4,M.Wagner u13.5 Pts,SBK5065,-120,0.6,1.1,8.4506,Orlando Magic,M.Wagner,Toronto Raptors,1,0.5000000000000001,,,,,,
8,,,,8,8,8,B.Hield u18.5 Pts,SBK5065,-125,0.63,1.134,8.4506,Indiana Pacers,B.Hield,Washington Wizards,1,0.5039999999999999,,,,,,
25,,,,25,25,25,M.Monk o17.5 Pts,SBK5065,-112,0.56,1.06,8.4506,Sacramento Kings,M.Monk,Cleveland Cavaliers,0,0.5,,,,,,
31,,,,31,31,31,D.Melton u13.5 Pts,SBK5065,-120,0.6,1.1,8.4506,Philadelphia 76ers,D.Melton,Los Angeles Lakers,1,0.5000000000000001,,,,,,
38,,,,38,38,38,J.Valanciunas u14.5 Pts,SBK5065,-112,0.56,1.06,8.4506,New Orleans Pelicans,J.Valanciunas,Phoenix Suns,1,0.5,,,,,,
43,,,,43,43,43,R.Gobert u15.5 Pts,SBK5065,-105,0.53,1.0347619047619048,8.4506,Minnesota Timberwolves,R.Gobert,Utah Jazz,0,0.5047619047619047,,,,,,
44,,,,44,44,44,J.Nowell o14.5 Pts,SBK5065,-122,0.61,1.11,8.4506,Minnesota Timberwolves,J.Nowell,Utah Jazz,0,0.5000000000000001,,,,,,
