,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0.0,0,M.Morris o10.5 Pts,Washington Wizards,SBK5065,-120,0.6,1.1,17.102500000000003,M.Morris,Cleveland Cavaliers,1,0.5000000000000001,0.4444444444444444,0.0,0.6,1.0,0.7,1.0
3,5.0,5,M.Morris o10.5 Pts,Washington Wizards,JoeDellera,-122,1.0,1.819672131147541,0.0,M.Morris,Cleveland Cavaliers,1,0.819672131147541,0.4444444444444444,0.0,0.6,1.0,0.7,1.0
6,8.0,8,J.Tatum o29.5 Pts,Boston Celtics,SBK5065,-125,0.63,1.134,0.0,J.Tatum,Detroit Pistons,0,0.5040000000000001,0.58,1.0,0.8,1.0,0.7,1.0
7,9.0,9,M.Brogdon o14.5 Pts,Boston Celtics,SBK5065,-125,0.63,1.134,0.0,M.Brogdon,Detroit Pistons,0,0.5040000000000001,0.4888888888888889,0.0,0.4,0.0,0.6,1.0
9,16.0,16,D.DeRozan o25.5 Pts,Chicago Bulls,SBK5065,-120,0.6,1.1,17.102500000000003,D.DeRozan,San Antonio Spurs,1,0.5000000000000001,0.5714285714285714,1.0,0.6,1.0,0.7,1.0
10,18.0,18,D.DeRozan o25.5 Pts,Chicago Bulls,PropBomb,-120,1.2,2.2,-5.29,D.DeRozan,San Antonio Spurs,1,1.0000000000000002,0.5714285714285714,1.0,0.6,1.0,0.7,1.0
0,,0,M.Morris o10.5 Pts,Washington Wizards,SBK5065,-120,0.6,1.1,17.102500000000003,M.Morris,Cleveland Cavaliers,1,0.5000000000000001,,,,,,
5,,5,M.Morris o10.5 Pts,Washington Wizards,JoeDellera,-122,1.0,1.819672131147541,0.0,M.Morris,Cleveland Cavaliers,1,0.819672131147541,,,,,,
8,,8,J.Tatum o29.5 Pts,Boston Celtics,SBK5065,-125,0.63,1.134,0.0,J.Tatum,Detroit Pistons,0,0.5040000000000001,,,,,,
9,,9,M.Brogdon o14.5 Pts,Boston Celtics,SBK5065,-125,0.63,1.134,0.0,M.Brogdon,Detroit Pistons,0,0.5040000000000001,,,,,,
16,,16,D.DeRozan o25.5 Pts,Chicago Bulls,SBK5065,-120,0.6,1.1,17.102500000000003,D.DeRozan,San Antonio Spurs,1,0.5000000000000001,,,,,,
18,,18,D.DeRozan o25.5 Pts,Chicago Bulls,PropBomb,-120,1.2,2.2,-5.29,D.DeRozan,San Antonio Spurs,1,1.0000000000000002,,,,,,
