,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,2,W.Carter o15.5 Pts,Orlando Magic,PropBomb,-110,1.1,2.1,15.086499999999996,W.Carter,Washington Wizards,0,1.0,0.4528301886792453,0.0,0.6,1.0,0.7,1.0
2,4,J.Embiid u33.5 Pts,Philadelphia 76ers,PropBomb,-115,1.15,2.1499999999999995,15.086499999999996,J.Embiid,Toronto Raptors,1,0.9999999999999996,0.532258064516129,1.0,0.6,1.0,0.4,0.0
6,10,N.Claxton o12.5 Pts,Brooklyn Nets,JoeMetz,-110,1.1,2.1,-10.865,N.Claxton,Atlanta Hawks,1,1.0,0.4647887323943662,0.0,0.6,1.0,0.6,1.0
9,13,J.Ivey o19.5 Pts,Detroit Pistons,PropBomb,-130,1.3,2.3,15.086499999999996,J.Ivey,Houston Rockets,0,0.9999999999999998,0.1911764705882352,0.0,0.6,1.0,0.4,0.0
15,22,S.Sharpe o22.5 Pts,Portland Trail Blazers,JoeMetz,-115,1.15,2.1499999999999995,-10.865,S.Sharpe,Sacramento Kings,1,0.9999999999999996,0.0533333333333333,0.0,0.8,1.0,0.4,0.0
4,4,J.Embiid u33.5 Pts,Philadelphia 76ers,PropBomb,-115,1.15,2.1499999999999995,15.086499999999996,J.Embiid,Toronto Raptors,1,0.9999999999999996,,,,,,
10,10,N.Claxton o12.5 Pts,Brooklyn Nets,JoeMetz,-110,1.1,2.1,-10.865,N.Claxton,Atlanta Hawks,1,1.0,,,,,,
13,13,J.Ivey o19.5 Pts,Detroit Pistons,PropBomb,-130,1.3,2.3,15.086499999999996,J.Ivey,Houston Rockets,0,0.9999999999999998,,,,,,
22,22,S.Sharpe o22.5 Pts,Portland Trail Blazers,JoeMetz,-115,1.15,2.1499999999999995,-10.865,S.Sharpe,Sacramento Kings,1,0.9999999999999996,,,,,,
23,23,K.Durant o22.5 Pts,Phoenix Suns,SBK5065,-105,0.53,1.0347619047619048,19.6428,K.Durant,Denver Nuggets,1,0.5047619047619047,,,,,,
25,25,K.Durant o22.5 Pts,Phoenix Suns,JoeDellera,-105,0.75,1.4642857142857142,0.0,K.Durant,Denver Nuggets,1,0.7142857142857142,,,,,,
