,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,PropBetGuy,-120,1.2,2.2,14.2148,Toronto Raptors,1,1.0000000000000002,0.4285714285714285,0,0.8,1,0.6,1,Y
1,1,1,S.Barnes o0.5 3pt M,Toronto Raptors,JoeDellera,110,0.5,1.05,0.0,Milwaukee Bucks,0,0.55,0.6046511627906976,1,0.6,1,0.5,0,N
2,2,2,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,JoeDellera,-120,0.4,0.7333333333333334,0.0,Toronto Raptors,1,0.3333333333333333,0.4285714285714285,0,0.8,1,0.6,1,Y
3,3,3,J.Holiday o8.5 Ast,Milwaukee Bucks,JoeDellera,-105,0.5,0.9761904761904762,0.0,Toronto Raptors,1,0.4761904761904761,0.4,0,1.0,1,0.6,1,N
4,4,4,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,SBK5065,-125,0.63,1.134,0.0,Toronto Raptors,1,0.5040000000000001,0.4285714285714285,0,0.8,1,0.6,1,Y
5,9,9,N.Claxton o2.5 Blk,Brooklyn Nets,JoeDellera,-140,1.0,1.7142857142857144,0.0,San Antonio Spurs,0,0.7142857142857144,0.5384615384615384,1,1.0,1,0.8,1,Y
6,13,13,J.Harden o37.5 Pts+Rebs+Ast,Philadelphia 76ers,PropBetGuy,-105,1.05,2.05,14.2148,Los Angeles Clippers,0,0.9999999999999998,0.6428571428571429,1,1.0,1,0.7,1,N
7,14,14,J.Harden o37.5 Pts+Rebs+Ast,Philadelphia 76ers,JoeDellera,-105,0.5,0.9761904761904762,20.9039,Los Angeles Clippers,0,0.4761904761904761,0.6428571428571429,1,1.0,1,0.7,1,N
8,15,15,T.Harris o1.5 3pt M,Philadelphia 76ers,JoeDellera,105,0.75,1.5375,0.0,Los Angeles Clippers,0,0.7874999999999999,0.5641025641025641,1,0.6,1,0.4,0,Y
9,17,17,J.Harden o37.5 Pts+Rebs+Ast,Philadelphia 76ers,SBK5065,-105,0.53,1.0347619047619048,-1.5508000000000013,Los Angeles Clippers,0,0.5047619047619047,0.6428571428571429,1,1.0,1,0.7,1,N
10,18,18,J.Harden o36.5 Pts+Rebs+Ast,Philadelphia 76ers,SBK5065,-115,0.58,1.0843478260869563,0.0,Los Angeles Clippers,0,0.5043478260869564,0.6785714285714286,1,1.0,1,0.8,1,N
