,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,5,5,5,R.Barrett u28.5 Pts+Rebs+Ast,PropBetGuy,-104,1.04,2.04,0,New York Knicks,R.Barrett,Brooklyn Nets,0,1.0,0.5,0,0.6,1,0.5,0,N
1,6,6,6,N.Claxton o10.5 Rebs,JoeMetz,100,1.0,2.0,0,Brooklyn Nets,N.Claxton,New York Knicks,1,1.0,0.3260869565217391,0,0.8,1,0.8,1,Y
2,7,7,7,J.Tatum o30.5 Pts,JoeDellera,-122,0.4,0.7278688524590164,0,Boston Celtics,J.Tatum,Los Angeles Lakers,1,0.3278688524590164,0.5306122448979592,1,0.6,1,0.7,1,N
3,8,8,8,J.Tatum o30.5 Pts,PropBetGuy,-122,1.22,2.22,0,Boston Celtics,J.Tatum,Los Angeles Lakers,1,1.0000000000000002,0.5306122448979592,1,0.6,1,0.7,1,N
4,9,9,9,M.Brogdon o14.5 Pts,SBK5065,-118,0.5,0.923728813559322,0,Boston Celtics,M.Brogdon,Los Angeles Lakers,1,0.423728813559322,0.5227272727272727,1,0.6,1,0.7,1,Y
5,11,11,11,D.White o0.5 Blk,JoeDellera,-145,0.24,0.4055172413793103,0,Boston Celtics,D.White,Los Angeles Lakers,1,0.1655172413793103,0.5576923076923077,1,1.0,1,0.6,1,Y
6,12,12,12,W.Carter o15.5 Pts,SBK5065,-118,0.5,0.923728813559322,0,Orlando Magic,W.Carter,Chicago Bulls,1,0.423728813559322,0.4193548387096774,0,0.6,1,0.5,0,N
7,15,15,15,W.Carter o15.5 Pts,JoeDellera,-115,1.0,1.869565217391304,0,Orlando Magic,W.Carter,Chicago Bulls,1,0.869565217391304,0.4193548387096774,0,0.6,1,0.5,0,N
8,18,18,18,C.Paul o30.5 Pts+Rebs+Ast,SBK5065,-114,0.5,0.9385964912280702,0,Phoenix Suns,C.Paul,San Antonio Spurs,0,0.4385964912280702,0.4,0,0.6,1,0.5,0,Y
9,20,20,20,S.Dinwiddie o2.5 3pt M,JoeMetz,-125,1.0,1.8,0,Dallas Mavericks,S.Dinwiddie,Utah Jazz,0,0.8,0.58,1,0.8,1,0.7,1,Y
