,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,J.Grant u28.5 Pts+Rebs+Ast,Portland Trail Blazers,SBK5065,-115,0.58,1.0843478260869563,15.4793,J.Grant,Memphis Grizzlies,0,0.5043478260869564,0.5625,1,0.8,1,0.8,1,Y
1,2,J.Grant u28.5 Pts+Rebs+Ast,Portland Trail Blazers,PropBetGuy,-115,1.15,2.1499999999999995,-5.03,J.Grant,Memphis Grizzlies,0,0.9999999999999996,0.5625,1,0.8,1,0.8,1,Y
2,4,J.Tatum o38.5 Pts+Rebs,Boston Celtics,PropBetGuy,-120,1.2,2.2,-5.03,J.Tatum,Brooklyn Nets,1,1.0000000000000002,0.5510204081632653,1,0.8,1,0.8,1,Y
3,7,J.Poeltl o17.5 Pts+Rebs,San Antonio Spurs,SBK5065,-125,0.63,1.134,15.4793,J.Poeltl,Sacramento Kings,1,0.5040000000000001,0.6190476190476191,1,0.4,0,0.6,1,Y
4,8,K.Murray o2.5 3pt M,Sacramento Kings,JoeDellera,-106,0.75,1.4575471698113207,18.4795,K.Murray,San Antonio Spurs,0,0.7075471698113207,0.5106382978723404,1,0.8,1,0.7,1,N
5,9,D.Fox o25.5 Pts,Sacramento Kings,JoeMetz,-105,1.05,2.05,0.8100000000000014,D.Fox,San Antonio Spurs,0,0.9999999999999998,0.4565217391304347,0,0.6,1,0.4,0,Y
6,12,J.Williams o1.5 Stl+Blk,Oklahoma City Thunder,SBK5065,-130,0.65,1.15,0.0,J.Williams,Houston Rockets,0,0.4999999999999999,0.890625,1,1.0,1,1.0,1,Y
7,15,K.Thompson o22.5 Pts,Golden State Warriors,PropBetGuy,-115,1.15,2.1499999999999995,-5.03,K.Thompson,Minnesota Timberwolves,0,0.9999999999999996,0.4102564102564102,0,0.8,1,0.8,1,N
8,16,P.Achiuwa o9.5 Rebs,Toronto Raptors,JoeDellera,105,0.75,1.5375,18.4795,P.Achiuwa,Utah Jazz,0,0.7874999999999999,0.2413793103448276,0,0.8,1,0.5,0,N
9,17,P.Achiuwa o8.5 Rebs,Toronto Raptors,JoeDellera,-124,0.5,0.9032258064516128,0.0,P.Achiuwa,Utah Jazz,0,0.4032258064516129,0.2413793103448276,0,0.8,1,0.5,0,N
10,18,P.Achiuwa o9.5 Rebs,Toronto Raptors,PropBetGuy,115,1.0,2.15,-5.03,P.Achiuwa,Utah Jazz,0,1.15,0.2413793103448276,0,0.8,1,0.5,0,N
11,19,M.Bridges o3.5 Ast,Phoenix Suns,SBK5065,100,0.5,1.0,15.4793,M.Bridges,Atlanta Hawks,1,0.5,0.4528301886792453,0,0.8,1,0.9,1,Y
12,20,T.Young o25.5 Pts,Atlanta Hawks,JoeDellera,-115,1.0,1.869565217391304,18.4795,T.Young,Phoenix Suns,0,0.8695652173913042,0.5652173913043478,1,0.6,1,0.5,0,N
