,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,1,1,M.Strus o2.5 3pt M,PropBomb,-140,1.4,2.4,0,Miami Heat,M.Strus,New York Knicks,1,1.0,0.4565217391304347,0,0.8,1,0.4,0,N
1,3,3,3,C.Martin o8.5 Pts,charliedisturco,-110,1.1,2.1,0,Miami Heat,C.Martin,New York Knicks,1,1.0,0.4939759036144578,0,0.8,1,0.8,1,N
2,4,4,4,K.Love o1.5 3pt M,charliedisturco,-130,1.3,2.3,0,Miami Heat,K.Love,New York Knicks,1,0.9999999999999998,0.5454545454545454,1,0.6,1,0.7,1,N
3,5,5,5,K.Love o1.5 3pt M,VegasRefund,-130,1.3,2.3,0,Miami Heat,K.Love,New York Knicks,1,0.9999999999999998,0.5454545454545454,1,0.6,1,0.7,1,N
4,6,6,6,C.Martin o8.5 Pts,VegasRefund,-120,1.2,2.2,0,Miami Heat,C.Martin,New York Knicks,1,1.0000000000000002,0.4939759036144578,0,0.8,1,0.8,1,N
5,9,9,9,M.Robinson u15.5 Pts+Rebs+Ast,MikeRandle,-109,0.92,1.7640366972477066,0,New York Knicks,M.Robinson,Miami Heat,0,0.8440366972477066,0.391304347826087,0,0.6,1,0.5,0,Y
6,10,10,10,Q.Grimes u10.5 Pts,PropBomb,-125,1.0,1.8,0,New York Knicks,Q.Grimes,Miami Heat,0,0.8,0.620253164556962,1,1.0,1,0.8,1,Y
7,12,12,12,C.Martin o8.5 Pts,PropBetGuy,-120,1.2,2.2,0,Miami Heat,C.Martin,New York Knicks,1,1.0000000000000002,0.4939759036144578,0,0.8,1,0.8,1,N
8,13,13,13,J.Brunson o11.5 Rebs+Ast,VegasRefund,-120,1.2,2.2,0,New York Knicks,J.Brunson,Miami Heat,0,1.0000000000000002,0.3461538461538461,0,0.8,1,0.5,0,N
9,14,14,14,D.Schroder o10.5 Pts,charliedisturco,-120,1.2,2.2,0,Los Angeles Lakers,D.Schroder,Golden State Warriors,1,1.0000000000000002,0.5384615384615384,1,0.6,1,0.4,0,N
10,16,16,16,D.Schroder o15.5 Pts+Rebs+Ast,VegasRefund,-125,1.25,2.25,0,Los Angeles Lakers,D.Schroder,Golden State Warriors,1,1.0,0.6410256410256411,1,0.6,1,0.3,0,N
11,17,17,17,G.Payton u9.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Golden State Warriors,G.Payton,Los Angeles Lakers,0,0.4166666666666668,0.7777777777777778,1,0.6,1,0.7,1,Y
